time,bd,bv,hd,hv,ha,md1,md2
0.084,-0.009595866292628492,-0.20649022552978444,0,0,0,-0.03,0.03
0.086,-0.010015822244264031,-0.2099779758177707,0,0,0,-0.03,0.03
0.088,-0.010442590459282204,-0.213384107509086,0,0,0,-0.03,0.03
0.09,-0.010876006499652997,-0.2167080201853965,0,0,0,-0.03,0.03
0.092,-0.01131590488173974,-0.21994919104337118,0,0,0,-0.03,0.03
0.094,-0.01176211923922759,-0.22310717874392438,0,0,0,-0.03,0.03
0.096,-0.012214482493052825,-0.22618162691261667,0,0,0,-0.03,0.03
0.098,-0.01267282702753113,-0.22917226723915254,0,0,0,-0.03,0.03
0.1,-0.013136984871785521,-0.23207892212719614,0,0,0,-0.03,0.03
0.102,-0.013606787885486069,-0.2349015068502749,0,0,0,-0.03,0.03
0.104,-0.01408206794783668,-0.23764003117530594,0,0,0,-0.03,0.03
0.106,-0.014562657148681015,-0.24029460042216708,0,0,0,-0.03,0.03
0.108,-0.015048387980552223,-0.24286541593560346,0,0,0,-0.03,0.03
0.11,-0.01553909353046105,-0.24535277495441388,0,0,0,-0.03,0.03
0.112,-0.01603460767020521,-0.24775706987207932,0,0,0,-0.03,0.03
0.114,-0.016534765243990234,-0.25007878689251306,0,0,0,-0.03,0.03
0.116,-0.017039402252178554,-0.2523185040941586,0,0,0,-0.03,0.03
0.118,-0.01754835603002845,-0.2544768889249506,0,0,0,-0.03,0.03
0.12,-0.018061465420347277,-0.2565546951594136,0,0,0,-0.03,0.03
0.122,-0.01857857093906158,-0.2585527593571529,0,0,0,-0.03,0.03
0.124,-0.01909951493279951,-0.2604719968689644,0,0,0,-0.03,0.03
0.126,-0.019624141727684688,-0.2623133974425872,0,0,0,-0.03,0.03
0.128,-0.0201522977686539,-0.2640780204846064,0,0,0,-0.03,0.03
0.13,-0.02068383174873013,-0.2657669900381153,0,0,0,-0.03,0.03
0.132,-0.02121859472780503,-0.2673814895374481,0,0,0,-0.03,0.03
0.134,-0.021756440240608254,-0.2689227564016124,0,0,0,-0.03,0.03
0.136,-0.02229722439366244,-0.2703920765270923,0,0,0,-0.03,0.03
0.138,-0.022840805951139524,-0.27179077873854235,0,0,0,-0.03,0.03
0.14,-0.02338704640964498,-0.2731202292527273,0,0,0,-0.03,0.03
0.142,-0.023935810062059047,-0.2743818262070394,0,0,0,-0.03,0.03
0.144,-0.024486964050657516,-0.2755769942992324,0,0,0,-0.03,0.03
0.146,-0.025040378409817175,-0.2767071795798291,0,0,0,-0.03,0.03
0.148,-0.025595926098683545,-0.2777738444331857,0,0,0,-0.03,0.03
0.15,-0.0261534830242387,-0.27877846277757606,0,0,0,-0.03,0.03
0.152,-0.026712928055256838,-0.279722515509069,0,0,0,-0.03,0.03
0.154,-0.027274143027673902,-0.28060748620853143,0,0,0,-0.03,0.03
0.156,-0.02783701274192572,-0.28143485712590843,0,0,0,-0.03,0.03
0.158,-0.02840142495282793,-0.2822061054511039,0,0,0,-0.03,0.03
0.16,-0.028967270352580666,-0.2829226998763677,0,0,0,-0.03,0.03
