Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:37:48:255133,0.417745,-0.00432187,0.744,-0.464,0.397,-0.044,0.067,-0.003,459,-0.000527859
21:37:48:260223,0.417737,-0.00472052,0.69,0.406,0.368,-0.021,0.037,0.013,460,-0.000469208
21:37:48:265243,0.41773,-0.00501908,0.636,2.19,0.271,0.037,-0.003,0.045,460,-0.000469208
21:37:48:270230,0.417727,-0.00521803,0.407,3.6,0.179,0.099,-0.017,0.08,460,-0.000469208
21:37:48:275365,0.417769,-0.00531745,-0.416,5.715,0.085,0.225,-0.026,0.146,461,-0.000410557
21:37:48:280380,0.417769,-0.00531623,-1.124,6.761,0.061,0.301,-0.034,0.181,461,-0.000410557
21:37:48:285339,0.417727,-0.00521437,-1.862,7.173,0.022,0.332,-0.056,0.189,461,-0.000410557
21:37:48:290448,0.41773,-0.00501341,-1.908,6.613,-0.032,0.282,-0.072,0.167,460,-0.000469208
21:37:48:295610,0.417737,-0.00471241,-1.349,5.041,-0.093,0.162,-0.081,0.118,460,-0.000469208
21:37:48:300593,0.417745,-0.00431173,-0.769,3.93,-0.034,0.101,-0.071,0.086,460,-0.000469208
21:37:48:305710,0.417754,-0.00381067,0.072,2.599,0.24,0.068,-0.036,0.047,460,-0.000469208
21:37:48:310624,0.417762,-0.00320975,0.544,1.954,0.419,0.066,-0.006,0.027,460,-0.000469208
21:37:48:315700,0.417725,-0.00250852,1.133,1.204,0.379,0.051,0.041,0.008,460,-0.000469208
21:37:48:320827,0.417732,-0.00170769,1.41,0.792,0.141,0.026,0.068,0.003,461,-0.000410557
21:37:48:325818,0.417739,-0.000781873,1.437,0.351,-0.183,-0.01,0.085,0.002,461,-0.000410557
21:37:48:330952,0.41774,0,1.131,0.216,-0.2,-0.018,0.072,-0.002,460,-0.000469208
21:37:48:336073,0.417739,0.000819961,0.425,0.185,-0.019,-0.002,0.02,-0.019,460,-0.000469208
21:37:48:340960,0.417735,0.00147091,0.037,0.177,0.044,0.012,-0.019,-0.031,460,-0.000469208
21:37:48:346195,0.417731,0.00202186,-0.228,0.112,-0.122,0.02,-0.059,-0.03,458,-0.00058651
21:37:48:351222,0.417725,0.00247283,-0.283,0.087,-0.47,0.018,-0.065,-0.007,458,-0.00058651
21:37:48:356188,0.417767,0.00282413,-0.28,0.154,-0.648,0.017,-0.054,0.005,459,-0.000527859
21:37:48:361349,0.417765,0.00307515,-0.115,0.437,-0.616,0.016,-0.025,0.01,460,-0.000469208
21:37:48:366334,0.417762,0.00322616,0.143,0.805,-0.354,0.015,-0.003,0.011,460,-0.000469208
21:37:48:371471,0.417759,0.0032772,0.57,1.667,0.184,0.025,0.026,0.022,460,-0.000469208
21:37:48:376453,0.417762,0.00322827,0.696,2.357,0.426,0.046,0.036,0.031,461,-0.000410557
21:37:48:381453,0.417765,0.00307933,0.518,3.331,0.46,0.102,0.035,0.051,461,-0.000410557
21:37:48:386581,0.417767,0.00283037,0.254,3.891,0.379,0.146,0.024,0.076,462,-0.000351906
21:37:48:391558,0.417725,0.00248117,-0.092,4.583,0.342,0.202,0,0.126,462,-0.000351906
21:37:48:396718,0.417731,0.00203227,-0.231,4.831,0.367,0.217,-0.016,0.145,463,-0.000293255
