time,bd,bv,hd,hv,md1,md2
0.101,-0.0014012553917775248,0.009264694909962684,0,0,-0.03,0.03
0.102,-0.0013909795659719096,0.010275825805615217,0,0,-0.03,0.03
0.103,-0.0013796819852255479,0.011297580746361679,0,0,-0.03,0.03
0.104,-0.0013673522017559944,0.0123297834695537,0,0,-0.03,0.03
0.105,-0.001353979941992968,0.01337225976302633,0,0,-0.03,0.03
0.106,-0.0013395551045522632,0.014424837440704759,0,0,-0.03,0.03
0.107,-0.0013240677582347842,0.01548734631747902,0,0,-0.03,0.03
0.108,-0.001307508140051362,0.016559618183421967,0,0,-0.03,0.03
0.109,-0.001289866653273941,0.017641486777421205,0,0,-0.03,0.03
0.11,-0.0012711338655136495,0.018732787760291376,0,0,-0.03,0.03
0.111,-0.0012513005068262206,0.019833358687428904,0,0,-0.03,0.03
0.112,-0.001230357467845153,0.020943038981067433,0,0,-0.03,0.03
0.113,-0.0012082957979429648,0.02206166990218825,0,0,-0.03,0.03
0.114,-0.0011851067034208283,0.023189094522136487,0,0,-0.03,0.03
0.115,-0.001160781545726838,0.024325157693990306,0,0,-0.03,0.03
0.116,-0.0011353118397031108,0.02546970602372718,0,0,-0.03,0.03
0.117,-0.0011086892518618826,0.026622587841228052,0,0,-0.03,0.03
0.118,-0.0010809055986907257,0.02778365317115727,0,0,-0.03,0.03
0.119,-0.0010519528449869718,0.028952753703753706,0,0,-0.03,0.03
0.12,-0.001021823102221407,0.030129742765564908,0,0,-0.03,0.03
0.121,-0.0009905086269312519,0.03131447529015498,0,0,-0.03,0.03
0.122,-0.0009580018191424387,0.03250680778881321,0,0,-0.03,0.03
0.123,-0.0009242952208211498,0.03370659832128899,0,0,-0.03,0.03
0.124,-0.0008893815143545734,0.03491370646657625,0,0,-0.03,0.03
0.125,-0.000853253521060805,0.0361279932937684,0,0,-0.03,0.03
0.126,-0.0008159041997278016,0.0373493213330033,0,0,-0.03,0.03
0.127,-0.0007773266451812858,0.038577554546515735,0,0,-0.03,0.03
0.128,-0.0007375140868814728,0.03981255829981301,0,0,-0.03,0.03
0.129,-0.0006964598875484844,0.04105419933298832,0,0,-0.03,0.03
0.13,-0.0006541575418163002,0.04230234573218416,0,0,-0.03,0.03
0.131,-0.0006106006749150826,0.04355686690121767,0,0,-0.03,0.03
0.132,-0.0005657830413817051,0.04481763353337751,0,0,-0.03,0.03
0.133,-0.0005196985237983036,0.046084517583401326,0,0,-0.03,0.03
0.134,-0.0004723411315586622,0.04735739223964139,0,0,-0.03,0.03
0.135,-0.00042370499966223717,0.04863613189642497,0,0,-0.03,0.03
0.136,-0.00037378438753562224,0.049920612126614916,0,0,-0.03,0.03
0.137,-0.00032257367788124706,0.05121070965437515,0,0,-0.03,0.03
0.138,-0.0002700673755531024,0.05250630232814456,0,0,-0.03,0.03
0.139,-0.00021626010645928016,0.05380726909382223,0,0,-0.03,0.03
0.14,-0.000161146616491114,0.055113489968166104,0,0,-0.03,0.03
0.141,-0.00010472177047870943,0.05642484601240608,0,0,-0.03,0.03
0.142,-4.698055117263662e-05,0.05774121930607275,0,0,-0.03,0.03
0.143,1.208194174840404e-05,0.059062492921040606,0,0,-0.03,0.03
0.144,7.247049264419054e-05,0.060388550895786444,0,0,-0.03,0.03
0.145,0.0001341897708540512,0.06171927820986059,0,0,-0.03,0.03
0.146,0.00019724433161262103,0.0630545607585698,0,0,-0.03,0.03
0.147,0.00026163861694049025,0.06439428532786917,0,0,-0.03,0.03
0.148,0.00032737695650995104,0.06573833956946068,0,0,-0.03,0.03
0.149,0.00039446356848604584,0.06708661197609482,0,0,-0.03,0.03
0.15,0.0004629025603431178,0.06843899185707186,0,0,-0.03,0.03
0.151,0.0005326979296570567,0.06979536931393884,0,0,-0.03,0.03
0.152,0.0006038535648734345,0.07115563521637772,0,0,-0.03,0.03
0.153,0.0006763732460517147,0.07251968117828006,0,0,-0.03,0.03
0.154,0.0007502606455857181,0.07388739953400338,0,0,-0.03,0.03
0.155,0.0008255193289005215,0.07525868331480343,0,0,-0.03,0.03
