Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
22:57:21:93019,0.374038,0.150979,-0.245,0.966,0.358,0.075,-0.049,0.02,558,0.00258065
22:57:21:98020,0.374059,0.153342,0.501,0.129,0.471,0.041,-0.005,0.003,552,0.00222874
22:57:21:103169,0.374039,0.155587,0.823,-0.416,0.525,0.012,0.028,-0.015,552,0.00222874
22:57:21:108159,0.374056,0.157754,1.124,-1.189,0.362,-0.026,0.074,-0.043,547,0.00193548
22:57:21:113287,0.374041,0.159804,1.213,-1.615,0.027,-0.047,0.088,-0.051,545,0.00181818
22:57:21:118300,0.374071,0.161778,1.068,-1.835,-0.462,-0.064,0.075,-0.048,545,0.00181818
22:57:21:123281,0.37407,0.163636,0.819,-1.538,-0.469,-0.058,0.049,-0.04,542,0.00164223
22:57:21:128414,0.374037,0.165382,0.534,-0.52,0.076,-0.024,0.013,-0.028,540,0.00152493
22:57:21:133508,0.374059,0.167054,0.537,0.229,0.513,0.002,0.002,-0.018,540,0.00152493
22:57:21:138538,0.374055,0.168613,0.642,0.861,0.72,0.021,0,-0.001,540,0.00152493
22:57:21:143696,0.374066,0.170079,0.317,0.625,0.264,0.008,-0.001,0.007,540,0.00152493
22:57:21:148773,0.374054,0.17144,-0.24,0.155,-0.23,-0.013,-0.007,0.008,539,0.00146628
22:57:21:153768,0.374065,0.172704,-1.097,-0.402,-0.881,-0.049,-0.02,0.01,532,0.00105572
22:57:21:158776,0.374051,0.173862,-1.277,-0.349,-1.054,-0.062,-0.024,0.018,532,0.00105572
22:57:21:163901,0.374065,0.174929,-0.797,0.38,-0.77,-0.041,-0.022,0.034,520,0.000351906
22:57:21:168911,0.374057,0.175893,-0.312,0.911,-0.353,-0.006,-0.021,0.039,509,-0.000293255
22:57:21:173906,0.374036,0.176745,-0.119,0.941,0.1,0.037,-0.027,0.025,509,-0.000293255
22:57:21:179028,0.374037,0.177511,-0.525,0.258,0.075,0.037,-0.039,0.003,496,-0.00105572
22:57:21:184020,0.374068,0.178188,-1.538,-1.414,-0.31,-0.017,-0.062,-0.026,496,-0.00105572
22:57:21:189158,0.374042,0.178739,-2.021,-2.464,-0.494,-0.069,-0.075,-0.039,477,-0.00217009
22:57:21:194146,0.374046,0.179207,-1.822,-3.147,-0.232,-0.11,-0.078,-0.051,455,-0.00346041
22:57:21:199263,0.374034,0.179567,-1.022,-2.874,0.291,-0.09,-0.062,-0.058,455,-0.00346041
22:57:21:204269,0.374054,0.179839,0.665,-2.036,1.114,-0.026,0.008,-0.066,432,-0.00480938
22:57:21:209413,0.374058,0.180009,1.643,-1.85,1.306,-0.009,0.08,-0.066,416,-0.0057478
22:57:21:214384,0.374055,0.180071,2.26,-2.656,0.784,-0.056,0.17,-0.066,416,-0.0057478
22:57:21:219516,0.374038,0.180031,1.994,-3.592,0.133,-0.107,0.178,-0.074,402,-0.00656891
22:57:21:224552,0.374053,0.179902,0.906,-4.598,-0.525,-0.152,0.095,-0.096,391,-0.00721408
22:57:21:229431,0.374052,0.179666,0.162,-4.659,-0.495,-0.154,0.012,-0.106,391,-0.00721408
