Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:03:17:136651,0.374064,0.182836,1.989,-0.641,0.254,-0.084,0.123,-0.044,586,0.00422287,470
22:03:17:141650,0.374053,0.183017,1.387,-0.307,0.119,-0.083,0.081,-0.047,638,0.00727273,459
22:03:17:146775,0.374037,0.183092,-0.14,0.398,-0.166,-0.065,-0.022,-0.014,638,0.00727273,447
22:03:17:151777,0.374047,0.183083,-1.133,1.117,-0.414,-0.041,-0.076,0.034,682,0.00985337,436
22:03:17:156900,0.374046,0.182968,-2.07,2.356,-0.679,0.002,-0.107,0.093,713,0.0116716,424
22:03:17:161902,0.374035,0.182749,-2.359,3.31,-0.723,0.048,-0.103,0.097,713,0.0116716,431
22:03:17:167025,0.374057,0.182441,-2.296,3.625,-0.725,0.073,-0.099,0.085,728,0.0125513,442
22:03:17:172027,0.374065,0.182031,-1.801,3.657,-0.799,0.099,-0.095,0.086,728,0.0125513,454
22:03:17:177150,0.374064,0.181512,-1.219,3.47,-0.849,0.11,-0.085,0.098,726,0.012434,465
22:03:17:182150,0.374048,0.180892,-0.319,2.934,-0.863,0.117,-0.046,0.102,707,0.0113196,477
22:03:17:187150,0.374061,0.180182,0.006,2.373,-0.912,0.113,-0.01,0.09,707,0.0113196,488
22:03:17:192274,0.374058,0.179371,-0.135,1.223,-1.164,0.093,0.028,0.068,677,0.00956012,500
22:03:17:197399,0.374045,0.178447,-0.543,0.346,-1.326,0.079,0.027,0.054,636,0.00715543,511
22:03:17:202403,0.374053,0.177437,-1.244,-0.882,-1.108,0.074,-0.024,0.016,636,0.00715543,520
22:03:17:207400,0.374047,0.176315,-1.516,-1.529,-0.531,0.079,-0.073,-0.026,585,0.00416422,520
22:03:17:212554,0.374063,0.175112,-1.155,-2.166,0.615,0.086,-0.108,-0.085,534,0.00117302,520
22:03:17:217649,0.37406,0.173795,-0.203,-2.38,1.17,0.083,-0.069,-0.096,534,0.00117302,515
22:03:17:222650,0.374036,0.17237,2.069,-2.483,1.345,0.066,0.081,-0.072,479,-0.00205279,504
22:03:17:227777,0.374071,0.170871,3.595,-2.465,1.195,0.05,0.197,-0.053,479,-0.00205279,492
22:03:17:232776,0.374044,0.169245,4.756,-2.325,1.061,0.029,0.281,-0.045,427,-0.00510264,481
22:03:17:237774,0.37407,0.167539,4.481,-2.127,1.079,0.022,0.246,-0.046,380,-0.00785924,469
22:03:17:242900,0.374069,0.165726,2.938,-1.716,0.895,0.02,0.113,-0.04,380,-0.00785924,458
22:03:17:247911,0.374051,0.163912,1.653,-1.496,0.472,0.016,0.03,-0.035,340,-0.0102053,446
22:03:17:253025,0.374044,0.162192,-0.205,-1.508,-0.407,-0.013,-0.035,-0.034,306,-0.0121994,435
22:03:17:258026,0.37404,0.160585,-2.034,-1.939,-1.116,-0.068,-0.072,-0.03,306,-0.0121994,423
22:03:17:263150,0.37405,0.159075,-3.196,-2.253,-1.367,-0.1,-0.112,-0.018,281,-0.0136657,430
22:03:17:268150,0.374068,0.157673,-4.32,-2.346,-1.392,-0.113,-0.186,0.003,281,-0.0136657,441
22:03:17:273275,0.374061,0.156358,-4.311,-2.081,-1.181,-0.099,-0.21,0.009,266,-0.0145455,453
22:03:17:278275,0.374066,0.155151,-3.133,-1.579,-0.66,-0.076,-0.16,0,262,-0.0147801,464
22:03:17:283399,0.374047,0.154031,-1.917,-1.56,-0.337,-0.08,-0.08,-0.014,262,-0.0147801,476
22:03:17:288401,0.374044,0.153019,-0.139,-2.339,-0.056,-0.12,0.036,-0.045,274,-0.0140762,487
22:03:17:293526,0.374062,0.152116,0.806,-3.226,0.034,-0.152,0.076,-0.07,300,-0.0125513,499
22:03:17:298529,0.374055,0.151302,1.765,-4.593,0.158,-0.189,0.087,-0.113,300,-0.0125513,510
22:03:17:303653,0.374071,0.150597,2.03,-5.398,0.234,-0.218,0.088,-0.142,346,-0.00985337,520
22:03:17:308653,0.374064,0.149985,1.742,-6.43,0.286,-0.289,0.097,-0.18,400,-0.00668622,520
22:03:17:313775,0.37404,0.149461,1.131,-6.828,0.309,-0.337,0.089,-0.191,400,-0.00668622,514
22:03:17:318775,0.374033,0.14905,-0.098,-6.434,0.443,-0.344,0.03,-0.177,464,-0.00293255,502
22:03:17:323904,0.374056,0.148745,-0.995,-4.722,0.729,-0.257,-0.054,-0.134,464,-0.00293255,491
22:03:17:328900,0.374066,0.148524,-0.902,-3.259,0.956,-0.182,-0.077,-0.099,535,0.00123167,479
22:03:17:333904,0.374071,0.148233,0.574,-1.428,1.276,-0.112,-0.006,-0.058,609,0.00557185,468
