Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:08:14:535186,0.374051,0.0915377,0.506,-0.473,-0.24,-0.019,0.029,-0.011,604,0.00527859,620
22:08:14:540329,0.374032,0.0925735,0.515,-0.488,-0.197,-0.023,0.045,-0.008,604,0.00527859,620
22:08:14:545437,0.374058,0.0936106,0.333,-0.474,-0.125,-0.023,0.038,-0.005,603,0.00521994,620
22:08:14:550338,0.374042,0.0946192,0.087,-0.369,-0.027,-0.018,0.016,-0.006,603,0.00521994,620
22:08:14:555561,0.37407,0.0956286,-0.306,-0.105,0.129,-0.008,-0.018,-0.001,601,0.00510264,620
22:08:14:560592,0.374058,0.0966135,-0.455,0.061,0.156,-0.004,-0.03,0.006,600,0.00504399,620
22:08:14:565571,0.374043,0.0975836,-0.481,0.189,0.079,0,-0.033,0.014,600,0.00504399,620
22:08:14:570683,0.374033,0.0985442,-0.461,0.169,0.045,0.004,-0.029,0.012,599,0.00498534,620
22:08:14:575835,0.37407,0.0994992,-0.428,-0.01,0.14,0.004,-0.019,0.001,598,0.00492669,620
22:08:14:580833,0.374062,0.100432,-0.319,-0.199,0.258,-0.004,-0.007,-0.003,598,0.00492669,620
22:08:14:585967,0.374058,0.101351,0.04,-0.457,0.339,-0.024,0.016,-0.003,598,0.00492669,620
22:08:14:590959,0.374054,0.102256,0.305,-0.523,0.267,-0.031,0.029,-0.002,598,0.00492669,620
22:08:14:596075,0.374056,0.103151,0.479,-0.407,0.031,-0.022,0.028,-0.003,597,0.00486804,620
22:08:14:601073,0.37406,0.104029,0.403,-0.255,-0.114,-0.01,0.017,-0.005,596,0.00480938,620
22:08:14:606059,0.374065,0.104896,0.144,-0.101,-0.163,-0.001,0.002,-0.004,596,0.00480938,620
22:08:14:611199,0.374032,0.105738,-0.048,-0.09,0.027,-0.004,0.004,0,594,0.00469208,620
22:08:14:616201,0.374045,0.106582,-0.087,-0.091,0.204,-0.007,0.01,0.001,592,0.00457478,620
22:08:14:621329,0.37406,0.107408,-0.134,-0.072,0.328,-0.006,0.011,-0.001,592,0.00457478,620
22:08:14:626326,0.374039,0.108213,-0.26,-0.124,0.253,-0.007,0.002,-0.004,590,0.00445748,620
22:08:14:631459,0.374062,0.109016,-0.546,-0.381,0.019,-0.016,-0.015,-0.01,589,0.00439883,620
22:08:14:636463,0.374045,0.109792,-0.628,-0.583,-0.086,-0.023,-0.023,-0.012,589,0.00439883,620
22:08:14:641563,0.374034,0.110559,-0.347,-0.711,-0.068,-0.023,-0.019,-0.013,587,0.00428152,620
22:08:14:646742,0.374068,0.111324,0.047,-0.664,0,-0.019,-0.005,-0.013,587,0.00428152,620
22:08:14:651689,0.374065,0.112063,0.585,-0.547,0.017,-0.014,0.025,-0.014,586,0.00422287,620
22:08:14:656617,0.374065,0.112793,0.712,-0.509,-0.064,-0.016,0.039,-0.013,586,0.00422287,620
22:08:14:661860,0.374072,0.113504,0.444,-0.497,-0.236,-0.022,0.037,-0.007,586,0.00422287,620
22:08:14:666811,0.374038,0.114197,0.036,-0.483,-0.307,-0.023,0.019,-0.002,586,0.00422287,620
22:08:14:671984,0.374051,0.114884,-0.586,-0.432,-0.321,-0.021,-0.021,-0.002,586,0.00422287,620
22:08:14:676985,0.374072,0.115563,-0.79,-0.364,-0.315,-0.017,-0.048,-0.004,586,0.00422287,620
22:08:14:681935,0.374053,0.116214,-0.608,-0.188,-0.315,-0.008,-0.062,-0.002,584,0.00410557,620
22:08:14:687107,0.37404,0.116855,-0.23,-0.052,-0.273,-0.003,-0.044,0.003,584,0.00410557,620
22:08:14:692089,0.374033,0.117479,0.456,0.055,-0.096,-0.001,0.014,0.01,584,0.00410557,620
22:08:14:697251,0.374071,0.11811,0.918,-0.013,0.091,-0.006,0.065,0.008,583,0.00404692,620
22:08:14:702359,0.374073,0.11871,0.901,-0.107,0.136,-0.01,0.069,0.005,583,0.00404692,620
22:08:14:707320,0.374039,0.119286,0.312,-0.235,0.091,-0.013,0.026,0.002,583,0.00404692,620
22:08:14:712477,0.374053,0.119867,-0.255,-0.305,0.03,-0.016,-0.017,0,581,0.00392962,620
22:08:14:717436,0.374072,0.12043,-0.795,-0.381,-0.067,-0.02,-0.069,-0.01,581,0.00392962,620
22:08:14:722561,0.374053,0.120973,-0.744,-0.392,-0.124,-0.016,-0.076,-0.015,578,0.00375367,620
22:08:14:727620,0.374042,0.121498,-0.181,-0.352,-0.15,-0.006,-0.036,-0.011,577,0.00369501,620
22:08:14:732736,0.374036,0.122014,0.296,-0.337,-0.126,-0.002,0.012,-0.003,577,0.00369501,620
22:08:14:737692,0.374036,0.122519,0.848,-0.417,-0.108,-0.006,0.072,0,576,0.00363636,620
22:08:14:742828,0.374043,0.123012,0.988,-0.539,-0.135,-0.012,0.08,-0.004,576,0.00363636,620
22:08:14:747984,0.374054,0.123494,0.73,-0.754,-0.149,-0.022,0.043,-0.016,576,0.00363636,620
22:08:14:752956,0.374074,0.123959,0.261,-0.852,-0.077,-0.03,0.005,-0.02,576,0.00363636,620
22:08:14:757867,0.374053,0.124403,-0.562,-0.821,0.105,-0.035,-0.042,-0.017,576,0.00363636,620
22:08:14:763088,0.374044,0.124834,-0.89,-0.66,0.169,-0.029,-0.06,-0.012,576,0.00363636,620
22:08:14:767990,0.37404,0.125252,-0.743,-0.316,0.075,-0.011,-0.055,-0.004,575,0.00357771,620
22:08:14:773240,0.374041,0.125659,-0.084,-0.089,-0.079,0,-0.007,0,575,0.00357771,620
22:08:14:778199,0.374047,0.126056,0.317,-0.074,-0.069,-0.001,0.035,0.002,574,0.00351906,620
22:08:14:783335,0.374062,0.12644,0.568,-0.163,0.129,-0.011,0.073,0.002,574,0.00351906,620
22:08:14:788361,0.374041,0.1268,0.512,-0.21,0.258,-0.012,0.066,0,574,0.00351906,620
22:08:14:793463,0.374071,0.127161,0.19,-0.26,0.234,-0.009,0.018,-0.001,574,0.00351906,620
22:08:14:798467,0.374064,0.127493,-0.157,-0.343,0.07,-0.01,-0.019,-0.004,574,0.00351906,620
22:08:14:803569,0.374063,0.127815,-0.743,-0.545,-0.221,-0.022,-0.055,-0.01,574,0.00351906,620
22:08:14:808609,0.374068,0.128128,-0.987,-0.622,-0.328,-0.029,-0.063,-0.012,573,0.00346041,620
22:08:14:813736,0.37404,0.128416,-0.84,-0.483,-0.283,-0.024,-0.054,-0.007,573,0.00346041,620
22:08:14:818740,0.374059,0.128705,-0.424,-0.263,-0.165,-0.013,-0.034,-0.003,571,0.00334311,620
22:08:14:823816,0.374043,0.128966,0.283,-0.013,-0.023,0.001,0.008,0,569,0.00322581,620
22:08:14:828866,0.374037,0.129217,0.571,-0.016,-0.013,0.003,0.037,0.001,569,0.00322581,620
22:08:14:833938,0.374034,0.129458,0.656,-0.233,-0.064,0,0.057,0.002,568,0.00316716,620
22:08:14:838987,0.37404,0.12969,0.62,-0.411,-0.051,-0.003,0.05,0,568,0.00316716,620
22:08:14:844062,0.374054,0.129904,0.614,-0.613,0.1,-0.008,0.02,-0.012,567,0.0031085,620
22:08:14:849070,0.374034,0.130097,0.599,-0.701,0.224,-0.015,0.003,-0.023,566,0.00304985,620
22:08:14:854238,0.37406,0.130291,0.376,-0.769,0.275,-0.027,-0.008,-0.029,566,0.00304985,620
22:08:14:859212,0.374055,0.130462,-0.08,-0.746,0.132,-0.031,-0.011,-0.019,566,0.00304985,620
22:08:14:864358,0.374051,0.130621,-0.371,-0.695,0.023,-0.028,-0.014,-0.009,566,0.00304985,620
22:08:14:869322,0.374059,0.130767,-0.557,-0.611,-0.015,-0.024,-0.016,-0.001,566,0.00304985,620
22:08:14:874438,0.374034,0.130885,-0.479,-0.543,0.037,-0.023,-0.014,-0.003,566,0.00304985,620
22:08:14:879468,0.374054,0.131012,-0.19,-0.384,0.107,-0.018,-0.005,-0.01,566,0.00304985,620
22:08:14:884562,0.374041,0.13111,-0.004,-0.261,0.112,-0.011,0.003,-0.008,566,0.00304985,620
22:08:14:889568,0.374035,0.131198,0.166,-0.136,0.136,-0.006,0.015,0.005,566,0.00304985,620
22:08:14:894711,0.374039,0.131273,0.245,-0.106,0.203,-0.006,0.019,0.01,566,0.00304985,620
22:08:14:899859,0.374046,0.131338,0.374,-0.082,0.301,-0.006,0.02,0,566,0.00304985,620
22:08:14:904858,0.374062,0.131393,0.399,-0.06,0.269,-0.001,0.017,-0.004,565,0.0029912,620
22:08:14:909714,0.374044,0.131419,0.162,-0.068,0.047,0.005,0.008,0.006,565,0.0029912,620
22:08:14:914957,0.374034,0.131436,-0.138,-0.124,-0.116,0.004,0,0.015,563,0.0028739,620
22:08:14:919870,0.374073,0.131454,-0.418,-0.212,-0.184,-0.004,-0.01,0.002,562,0.00281525,620
22:08:14:925108,0.374034,0.131436,-0.3,-0.213,-0.093,-0.008,-0.012,-0.014,562,0.00281525,620
22:08:14:930064,0.374045,0.131415,0.159,-0.191,0.049,-0.007,-0.006,-0.012,561,0.0027566,620
22:08:14:935264,0.374063,0.131389,0.327,-0.38,-0.073,-0.009,-0.003,0.008,561,0.0027566,620
22:08:14:940190,0.374047,0.131334,0.106,-0.659,-0.296,-0.017,-0.007,0.006,562,0.00281525,620
22:08:14:945320,0.37404,0.13127,-0.373,-1.044,-0.576,-0.034,-0.018,-0.022,561,0.0027566,620
22:08:14:950486,0.374039,0.131191,-0.473,-1.088,-0.585,-0.041,-0.021,-0.035,561,0.0027566,620
22:08:14:955446,0.374043,0.131106,-0.069,-0.766,-0.334,-0.032,-0.009,-0.02,560,0.00269795,620
22:08:14:960459,0.374058,0.131005,0.414,-0.443,-0.093,-0.017,0.007,0,559,0.0026393,620
22:08:14:965572,0.374035,0.130882,0.934,-0.141,0.195,0.002,0.036,0.008,559,0.0026393,620
22:08:14:970688,0.374065,0.130761,0.894,-0.167,0.259,0.004,0.045,-0.002,559,0.0026393,620
22:08:14:975720,0.374059,0.130611,0.249,-0.478,0.079,-0.012,0.03,-0.021,559,0.0026393,620
22:08:14:980860,0.374058,0.130454,-0.313,-0.726,-0.185,-0.028,0.004,-0.022,559,0.0026393,620
22:08:14:985819,0.374066,0.130285,-0.832,-0.902,-0.508,-0.042,-0.04,-0.013,560,0.00269795,620
22:08:14:990985,0.374041,0.130087,-0.822,-0.807,-0.476,-0.038,-0.06,-0.008,560,0.00269795,620
22:08:14:995939,0.374062,0.129894,-0.395,-0.417,-0.036,-0.019,-0.057,-0.009,559,0.0026393,620
22:08:15:970,0.374049,0.129676,-0.004,-0.123,0.302,-0.006,-0.03,-0.008,559,0.0026393,620
22:08:15:6114,0.374043,0.129445,0.479,0.154,0.479,0.004,0.03,0.002,559,0.0026393,620
22:08:15:11063,0.374046,0.129204,0.623,0.202,0.362,0.007,0.063,0.012,558,0.00258065,620
22:08:15:16188,0.374052,0.128952,0.522,0.141,0.16,0.012,0.069,0.016,558,0.00258065,620
22:08:15:21116,0.37407,0.128689,0.317,0.05,0.177,0.014,0.044,0.009,558,0.00258065,620
22:08:15:26315,0.37405,0.128399,0.002,-0.149,0.366,0.007,-0.005,-0.006,558,0.00258065,620
22:08:15:31349,0.374037,0.128096,-0.207,-0.365,0.423,-0.008,-0.036,-0.013,558,0.00258065,620
22:08:15:36444,0.374032,0.127784,-0.3,-0.441,0.315,-0.015,-0.041,-0.011,559,0.0026393,620
22:08:15:41553,0.374033,0.127458,-0.354,-0.391,0.082,-0.016,-0.032,-0.004,558,0.00258065,620
22:08:15:46566,0.374042,0.127122,-0.274,-0.286,-0.024,-0.012,-0.017,0,558,0.00258065,620
22:08:15:51701,0.374057,0.126777,0.087,-0.135,-0.097,-0.008,0.013,0.005,558,0.00258065,620
22:08:15:56698,0.374037,0.126398,0.415,-0.072,-0.122,-0.007,0.033,0.008,556,0.00246334,620
22:08:15:61689,0.374064,0.126029,0.746,-0.03,-0.147,-0.005,0.041,0.006,556,0.00246334,620
22:08:15:66815,0.374058,0.125632,0.719,-0.032,-0.161,-0.002,0.029,0.002,554,0.00234604,620
22:08:15:71718,0.374055,0.125225,0.328,-0.1,-0.241,0.003,0,-0.005,552,0.00222874,620
