Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
01:49:56:619001,0.374051,-0.0400016,0.616,3.496,0.076,0.179,0.01,0.062,572,0.00340176
01:49:56:619932,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:619962,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:619984,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620004,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620021,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620043,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620066,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620082,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620102,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620113,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620122,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620132,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620141,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620151,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620161,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620170,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620180,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620190,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620200,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620209,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620219,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620228,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620238,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620248,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620258,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620267,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620277,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620287,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620296,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620306,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620315,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620325,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620335,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620344,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620354,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620363,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
01:49:56:620373,0.374051,-0.0400016,0.403,3.704,0.086,-0.213,0.009,0.068,572,0.00609971
