Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:12:17:602401,0.374065,0.0588971,-1.207,-3.281,-0.117,-0.137,-0.057,-0.061,239,-0.016129
18:12:17:607399,0.374052,0.0573774,-0.369,-3.155,0.16,-0.163,0.008,-0.049,251,-0.0154252
18:12:17:612553,0.374052,0.0559585,0.343,-3.12,0.432,-0.178,0.059,-0.049,251,-0.0154252
18:12:17:617673,0.374063,0.0546433,0.962,-3.369,0.832,-0.207,0.108,-0.063,275,-0.0140176
18:12:17:622565,0.374041,0.0534174,0.811,-3.791,0.994,-0.238,0.104,-0.076,312,-0.0118475
18:12:17:627657,0.374036,0.0522991,-0.117,-4.703,0.982,-0.287,0.051,-0.092,312,-0.0118475
18:12:17:632779,0.374046,0.0512842,-0.832,-5.404,0.816,-0.307,0.002,-0.102,365,-0.008739
18:12:17:637782,0.374072,0.0503686,-1.376,-6.37,0.512,-0.313,-0.056,-0.13,427,-0.00510264
18:12:17:642908,0.374033,0.0495407,-1.204,-6.696,0.432,-0.304,-0.071,-0.156,427,-0.00510264
18:12:17:647898,0.374055,0.0488255,-0.256,-6.191,0.578,-0.268,-0.038,-0.178,494,-0.00117302
18:12:17:653038,0.374054,0.0482037,0.61,-5.139,0.713,-0.233,0.018,-0.163,494,-0.00117302
18:12:17:658022,0.374039,0.0476395,1.72,-3.047,0.685,-0.179,0.115,-0.101,569,0.00322581
18:12:17:663159,0.374044,0.0469857,2.005,-1.778,0.499,-0.149,0.147,-0.056,649,0.00791789
18:12:17:668182,0.374065,0.0462344,1.495,-0.43,0.159,-0.109,0.109,-0.015,649,0.00791789
18:12:17:673280,0.374059,0.0453804,0.704,0.23,-0.039,-0.08,0.045,0,722,0.0121994
18:12:17:678312,0.37407,0.0444295,-0.492,1.259,-0.35,-0.033,-0.042,0.029,784,0.0158358
18:12:17:683432,0.374053,0.0433761,-0.999,2.036,-0.59,-0.001,-0.071,0.058,784,0.0158358
18:12:17:688411,0.374047,0.0422252,-1.311,3.13,-0.932,0.05,-0.079,0.094,824,0.0181818
18:12:17:693550,0.374055,0.0409775,-1.407,3.926,-1.136,0.099,-0.078,0.112,835,0.018827
18:12:17:698535,0.374074,0.0396288,-1.447,4.291,-1.16,0.126,-0.081,0.116,835,0.018827
18:12:17:703668,0.374056,0.038178,-1.417,4.58,-1.009,0.149,-0.086,0.114,811,0.0174194
18:12:17:708689,0.374044,0.0366261,-1.292,4.569,-0.803,0.157,-0.084,0.105,811,0.0174194
18:12:17:713790,0.374039,0.0349755,-0.908,4.447,-0.463,0.183,-0.065,0.094,761,0.0144868
18:12:17:718788,0.374038,0.033227,-0.486,4.614,-0.319,0.231,-0.041,0.103,689,0.0102639
18:12:17:723917,0.374034,0.0313791,0.383,5.585,-0.291,0.366,0.005,0.154,689,0.0102639
18:12:17:728926,0.374074,0.0294354,0.976,6.464,-0.327,0.472,0.038,0.193,598,0.00492669
18:12:17:733897,0.374063,0.0273884,1.439,7.108,-0.27,0.57,0.068,0.213,496,-0.00105572
18:12:17:738924,0.374047,0.0252401,1.277,6.61,-0.124,0.558,0.066,0.19,496,-0.00105572
18:12:17:744171,0.374066,0.0229939,0.452,4.433,0.106,0.438,0.034,0.115,393,-0.00709677
18:12:17:749190,0.374071,0.0206475,-0.19,2.356,0.163,0.324,0.006,0.057,294,-0.0129032
18:12:17:754315,0.374059,0.0182012,-0.761,-0.925,0.111,0.15,-0.024,-0.018,294,-0.0129032
18:12:17:759195,0.374067,0.0157209,-0.726,-2.748,0.071,0.052,-0.033,-0.058,219,-0.0173021
18:12:17:764430,0.374041,0.013328,-0.11,-4.293,0.058,-0.04,-0.03,-0.097,219,-0.0173021
18:12:17:769432,0.374033,0.011035,0.819,-4.398,0.011,-0.066,-0.003,-0.11,180,-0.0195894
18:12:17:774395,0.37404,0.00884307,1.338,-4.05,-0.037,-0.075,0.031,-0.105,183,-0.0194135
18:12:17:779524,0.374067,0.00675207,1.556,-3.534,0.007,-0.102,0.097,-0.087,183,-0.0194135
18:12:17:784528,0.374076,0.00475953,1.23,-3.379,0.133,-0.123,0.126,-0.077,216,-0.017478
18:12:17:789664,0.374063,0.00286631,0.288,-3.613,0.267,-0.163,0.108,-0.075,268,-0.0144282
18:12:17:794775,0.374032,0.00107215,-0.351,-4.21,0.225,-0.226,0.06,-0.084,268,-0.0144282
18:12:17:799787,0.374034,-0.000622606,-1.035,-5.828,0.081,-0.409,-0.025,-0.111,329,-0.0108504
18:12:17:804893,0.374068,-0.00221838,-1.327,-7.147,0.064,-0.557,-0.066,-0.133,329,-0.0108504
18:12:17:809903,0.374049,-0.00371447,-1.565,-8.687,0.132,-0.694,-0.084,-0.162,401,-0.00662757
18:12:17:815023,0.374068,-0.0051089,-1.518,-9.038,0.079,-0.685,-0.073,-0.174,481,-0.00193548
18:12:17:820041,0.374033,-0.00640376,-1.091,-8.54,-0.3,-0.554,-0.041,-0.188,481,-0.00193548
18:12:17:825167,0.374042,-0.00759979,-0.685,-7.786,-0.617,-0.449,-0.019,-0.194,565,0.0029912
18:12:17:830149,0.374046,-0.00869659,-0.096,-6.223,-0.717,-0.322,0.005,-0.184,650,0.00797654
18:12:17:835348,0.37405,-0.00969465,0.297,-4.769,-0.398,-0.242,0.02,-0.152,650,0.00797654
18:12:17:840277,0.374049,-0.0106698,0.908,-1.988,0.313,-0.101,0.042,-0.07,725,0.0123754
18:12:17:845280,0.374041,-0.0117373,1.169,-0.143,0.559,-0.013,0.051,-0.011,781,0.0156598
18:12:17:850420,0.374068,-0.0129074,0.984,1.754,0.292,0.057,0.047,0.049,781,0.0156598
18:12:17:855414,0.374034,-0.0141753,0.212,2.423,-0.253,0.059,0.02,0.068,811,0.0174194
18:12:17:860568,0.374032,-0.0155434,-0.259,2.499,-0.41,0.058,0,0.07,811,0.0174194
18:12:17:865520,0.374062,-0.0170118,-0.443,2.576,-0.283,0.076,-0.018,0.074,811,0.0174194
18:12:17:870641,0.374073,-0.0185793,-0.286,2.779,-0.164,0.095,-0.024,0.081,788,0.0160704
18:12:17:875653,0.374062,-0.0202443,-0.145,3.542,-0.202,0.138,-0.035,0.094,788,0.0160704
18:12:17:880775,0.374075,-0.0220101,-0.312,4.487,-0.324,0.197,-0.048,0.108,745,0.0135484
18:12:17:885773,0.374062,-0.0238751,-0.738,6.631,-0.383,0.356,-0.068,0.146,684,0.00997067
18:12:17:890909,0.37407,-0.025842,-0.836,8.37,-0.247,0.494,-0.072,0.184,684,0.00997067
18:12:17:895906,0.374045,-0.0279053,-0.42,10.654,0.142,0.667,-0.051,0.244,605,0.00533724
18:12:17:900918,0.374035,-0.0300691,0.106,11.367,0.385,0.707,-0.022,0.272,605,0.00533724
18:12:17:906034,0.374031,-0.0323325,0.774,10.609,0.508,0.631,0.027,0.283,515,5.8651e-05
18:12:17:911032,0.37404,-0.034696,0.906,9.002,0.408,0.52,0.049,0.261,418,-0.0056305
18:12:17:916151,0.374049,-0.0371592,0.562,5.676,0.116,0.341,0.05,0.184,418,-0.0056305
18:12:17:921284,0.374036,-0.0395879,0.094,3.262,-0.09,0.234,0.033,0.115,327,-0.0109677
18:12:17:926296,0.374061,-0.0419174,-0.601,-0.238,-0.39,0.096,0,0.014,263,-0.0147214
18:12:17:931416,0.374038,-0.0441415,-0.828,-3.245,-0.631,-0.012,-0.022,-0.066,263,-0.0147214
18:12:17:936396,0.374056,-0.046274,-0.607,-4.739,-0.635,-0.064,-0.027,-0.11,245,-0.0157771
18:12:17:941528,0.374033,-0.0483008,0.024,-5.816,-0.236,-0.112,-0.027,-0.151,278,-0.0138416
