time,bd,bv,hd,hv,ha,md1,md2
0.1554,0.02754737094815584,0.4366959780963524,-0.015744301981082523,-0.06649594274232776,12.150668333957812,-0.06,0.06
0.156,0.02780794855877917,0.43429601770554643,-0.015779831620735096,-0.0592160660876149,12.133127757854973,-0.06,0.06
0.1566,0.028067086190703822,0.431896053207746,-0.01581100191838,-0.05195049607483252,12.109283354637506,-0.06,0.06
0.1572,0.028324783841908455,0.4294960853410233,-0.015837823753785087,-0.044703059008473725,12.07906177726431,-0.06,0.06
0.1578,0.02858104151070605,0.42709611466264663,-0.01586031032130602,-0.03747761253487848,12.042410789325615,-0.06,0.06
0.1584,0.02883585919566826,0.42469614160365815,-0.015878477140961245,-0.030278032758702868,11.999299626959013,-0.06,0.06
0.159,0.029089236895570848,0.42229616650430274,-0.015892342061705773,-0.023108201240875238,11.949719196379592,-0.06,0.06
0.1596,0.02934117460935356,0.4198961896378399,-0.01590192525688843,-0.015971991971087993,11.893682116312291,-0.06,0.06
0.1602,0.029591672336089794,0.4174962112270298,-0.015907249211931162,-0.008873258404544409,11.831222610905632,-0.06,0.06
0.1608,0.029840730074963306,0.41509623145584046,-0.015908338704321102,-0.0018158206498998125,11.7623962577412,-0.06,0.06
0.1614,0.030088347825250078,0.41269625047794745,-0.01590522077605656,0.005196547107580541,11.687279595800794,-0.06,0.06
0.162,0.03033452558630391,0.41029626842302624,-0.01589792469873636,0.012160128867005697,11.605969599041595,-0.06,0.06
0.1626,0.030579263357544812,0.40789628540149125,-0.015886481931528154,0.019071278680349735,11.518583022240266,-0.06,0.06
0.1632,0.030822561138449698,0.40549630150811883,-0.015870926072294286,0.02592643205645088,11.425255626834913,-0.06,0.06
0.1638,0.03106441892854462,0.40309631682485786,-0.01585129280219403,0.03272211683376796,11.326141295528666,-0.06,0.06
0.1644,0.03130483672739844,0.40069633142303424,-0.015827619824117442,0.0394549634609867,11.221411045364773,-0.06,0.06
0.165,0.03154381453461753,0.39829634536510233,-0.015799946795338922,0.046121714630871356,11.111251949807443,-0.06,0.06
0.1656,0.03178135234984116,0.3958963587060491,-0.01576831525480723,0.052719234219496515,10.99586598104213,-0.06,0.06
0.1662,0.03201745017273788,0.39349637149453065,-0.015732768545513212,0.05924451549003524,10.87546878423139,-0.06,0.06
0.1668,0.032252108003002176,0.3910963837738005,-0.0156933517323967,0.0656946885275274,10.750288395819954,-0.06,0.06
0.1674,0.03248532584035167,0.3886963955824741,-0.015650111516269643,0.07206702687843097,10.620563918172813,-0.06,0.06
0.168,0.03271710368452479,0.38629640695516193,-0.015603096144243959,0.07835895337614467,10.486544162855875,-0.06,0.06
0.1686,0.032947441535278586,0.3838964179229988,-0.01555235531715937,0.08456804514098552,10.348486274734954,-0.06,0.06
0.1692,0.03317633939238705,0.3814964285140875,-0.01549794009450922,0.09069203775025594,10.206654348784205,-0.06,0.06
0.1698,0.03340379725563939,0.37909643875387494,-0.015439902797360683,0.0967288285808991,10.061318051071643,-0.06,0.06
0.1704,0.03362981512483868,0.37669644866547125,-0.015378296909760406,0.10267647933380285,9.91275125483976,-0.06,0.06
0.171,0.03385439299980065,0.37429645826992153,-0.015313176979107428,0.10853321775496624,9.76123070193872,-0.06,0.06
