Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:12:53:192940,0.51121,-0.013857,29.589,-8.908,10.782,-0.156,0.385,0.252
13:12:53:212919,0.511189,-0.014463,34.976,-10.691,12.332,-0.121,0.474,0.26
13:12:53:233089,0.511201,-0.0149581,40.722,-9.604,12.093,-0.093,0.593,0.263
13:12:53:253204,0.511187,-0.0153289,46.623,-9.386,12.29,-0.073,0.713,0.272
13:12:53:273213,0.511208,-0.0155697,51.505,-9.144,11.836,-0.039,0.804,0.295
13:12:53:293322,0.511203,-0.0156734,54.804,-10.027,12.875,-0.023,0.874,0.313
13:12:53:313347,0.511205,-0.0156386,57.09,-9.246,12.858,-0.026,0.927,0.316
13:12:53:333312,0.511212,-0.0154664,58.025,-9.222,12.824,-0.014,0.944,0.313
13:12:53:353473,0.511194,-0.0151592,57.183,-8.281,11.892,-0.009,0.928,0.274
13:12:53:373430,0.51121,-0.0147264,57.377,-8.086,11.678,-0.007,0.938,0.282
13:12:53:393593,0.511199,-0.0141733,53.903,-7.109,10.339,0,0.91,0.183
13:12:53:413709,0.511192,-0.0135148,46.348,-3.805,6.962,0.04,0.81,0.044
13:12:53:433662,0.511184,-0.0127631,39.477,-3.801,5.577,0.081,0.698,-0.038
13:12:53:453836,0.511208,-0.0119364,32.5,-1.121,2.654,0.123,0.605,-0.096
13:12:53:473802,0.5112,-0.0110501,24.856,-1.246,1.334,0.142,0.483,-0.149
13:12:53:493828,0.511191,-0.0101237,17.049,0.051,-0.464,0.141,0.365,-0.183
13:12:53:513960,0.511208,-0.00917749,10.728,0.651,-1.135,0.137,0.246,-0.159
