Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
13:13:21:230717,0.511208,-0.0155697,51.358,-5.462,9.021,0.028,0.763,0.319
13:13:21:250669,0.511203,-0.0156734,54.896,-7.008,9.924,0.055,0.839,0.351
13:13:21:270622,0.511205,-0.0156386,56.555,-7.201,10.111,0.07,0.883,0.347
13:13:21:290784,0.511212,-0.0154664,57.566,-6.992,10.042,0.082,0.9,0.345
13:13:21:310746,0.511194,-0.0151592,56.684,-5.653,8.774,0.082,0.882,0.306
13:13:21:330889,0.51121,-0.0147264,56.729,-4.344,8.48,0.066,0.888,0.301
13:13:21:351043,0.511199,-0.0141733,53.759,-4.293,7.652,0.087,0.869,0.22
13:13:21:371064,0.511192,-0.0135148,46.672,-2.149,4.301,0.139,0.78,0.094
13:13:21:391171,0.511184,-0.0127631,39.685,-2.022,3.057,0.177,0.665,0.006
13:13:21:411171,0.511208,-0.0119364,32.543,1.768,-0.236,0.201,0.569,-0.049
13:13:21:431266,0.5112,-0.0110501,24.891,1.602,-1.263,0.209,0.443,-0.105
13:13:21:451295,0.511191,-0.0101237,17.131,2.318,-2.735,0.225,0.328,-0.133
13:13:21:471429,0.511208,-0.00917749,10.556,2.315,-3.233,0.222,0.204,-0.122
13:13:21:491424,0.511192,-0.00823095,3.531,3.64,-5.016,0.211,0.128,-0.143
13:13:21:511590,0.511203,-0.00730444,-3.467,4.48,-5.045,0.134,0.086,-0.187
13:13:21:531697,0.511211,-0.00641838,-10.63,5.172,-4.953,0.075,-0.021,-0.198
13:13:21:551661,0.511186,-0.00559073,-17.385,4.707,-6.092,0.108,-0.105,-0.239
13:13:21:571671,0.511188,-0.00483958,-24.772,6.389,-7.113,0.086,-0.188,-0.283
13:13:21:591795,0.511188,-0.00418103,-32.46,8.217,-8.176,0.067,-0.31,-0.32
13:13:21:611916,0.511187,-0.00362886,-38.948,9.973,-9.78,0.075,-0.398,-0.34
13:13:21:631906,0.511185,-0.00319512,-45.532,10.898,-10.161,0.045,-0.44,-0.471
13:13:21:652013,0.511183,-0.00288872,-50.773,12.187,-11.162,0.028,-0.559,-0.378
13:13:21:672025,0.511182,-0.00271637,-54.484,12.481,-11.267,0.017,-0.62,-0.402
13:13:21:692154,0.511182,-0.00268172,-58.16,14.722,-13.072,0.018,-0.692,-0.469
13:13:21:712091,0.511183,-0.00278537,-58.643,15.35,-13.372,0.008,-0.691,-0.433
13:13:21:732274,0.511184,-0.00302535,-58.986,14.416,-13.2,0.033,-0.702,-0.458
13:13:21:752286,0.511186,-0.00339654,-59.714,14.107,-13.311,0.049,-0.735,-0.491
13:13:21:772379,0.511187,-0.00389081,-58.917,14.86,-13.223,0.009,-0.769,-0.456
13:13:21:792400,0.511188,-0.004446,-54.317,13.615,-12.099,0.005,-0.745,-0.391
13:13:21:812521,0.511187,-0.00520467,-48.205,11.814,-10.245,0,-0.672,-0.306
13:13:21:832530,0.511184,-0.00599589,-40.957,9.349,-8.425,-0.005,-0.511,-0.361
13:13:21:852654,0.511207,-0.00685526,-32.581,4.867,-4.093,-0.047,-0.486,-0.239
13:13:21:872630,0.511198,-0.00776387,-24.469,6.198,-4.342,-0.048,-0.348,-0.107
13:13:21:892786,0.511186,-0.00870276,-16.617,2.024,0.494,-0.134,-0.293,-0.11
13:13:21:912786,0.5112,-0.00965175,-7.543,1.417,0.929,-0.114,-0.149,0.035
13:13:21:932920,0.51121,-0.010591,-0.523,-2.484,3.919,-0.115,-0.087,0.054
13:13:21:953017,0.51119,-0.0114991,7.664,-2.74,4.843,-0.134,-0.047,0.176
13:13:21:973002,0.511196,-0.0123583,12.818,-3.848,6.901,-0.15,-0.013,0.188
13:13:21:993034,0.511204,-0.01315,20.224,-4.809,7.491,-0.13,0.133,0.207
13:13:22:13087,0.51121,-0.013857,29.002,-6.32,8.043,-0.069,0.349,0.26
13:13:22:33176,0.511189,-0.014463,34.457,-8.086,9.109,-0.027,0.442,0.273
13:13:22:53277,0.511201,-0.0149581,40.21,-7.031,9.13,-0.006,0.559,0.279
13:13:22:73265,0.511187,-0.0153289,46.063,-6.528,9.683,0.007,0.673,0.288
13:13:22:93392,0.511208,-0.0155697,51.123,-6.361,9.297,0.039,0.766,0.319
13:13:22:113505,0.511203,-0.0156734,54.192,-7.746,10.302,0.06,0.836,0.337
13:13:22:133524,0.511205,-0.0156386,56.673,-6.857,10.206,0.057,0.891,0.35
13:13:22:153635,0.511212,-0.0154664,57.671,-6.583,9.938,0.062,0.906,0.349
13:13:22:173615,0.511194,-0.0151592,56.554,-5.625,8.994,0.069,0.884,0.305
13:13:22:193763,0.51121,-0.0147264,57.016,-5.463,8.767,0.072,0.898,0.321
13:13:22:213738,0.511199,-0.0141733,54.162,-5.172,8.151,0.084,0.877,0.238
13:13:22:233883,0.511192,-0.0135148,46.594,-1.781,4.464,0.122,0.779,0.081
13:13:22:253889,0.511184,-0.0127631,39.916,-1.336,3.301,0.154,0.67,0
13:13:22:273805,0.511208,-0.0119364,32.777,1.397,0.178,0.194,0.574,-0.052
13:13:22:294016,0.5112,-0.0110501,24.381,0.923,-1.058,0.22,0.45,-0.112
13:13:22:314141,0.511191,-0.0101237,16.753,2.125,-2.447,0.221,0.327,-0.146
13:13:22:334150,0.511208,-0.00917749,10.44,2.954,-3.519,0.212,0.217,-0.118
13:13:22:354121,0.511192,-0.00823095,3.043,4.062,-5.009,0.205,0.13,-0.148
13:13:22:374232,0.511203,-0.00730444,-4.257,4.054,-4.794,0.134,0.083,-0.198
13:13:22:394241,0.511211,-0.00641838,-10.92,4.638,-4.82,0.08,-0.019,-0.199
13:13:22:414357,0.511186,-0.00559073,-17.744,4.91,-6.271,0.106,-0.109,-0.247
13:13:22:434380,0.511188,-0.00483958,-25.188,7.083,-7.193,0.07,-0.197,-0.29
13:13:22:454480,0.511188,-0.00418103,-32.874,8.16,-8.346,0.064,-0.322,-0.324
13:13:22:474604,0.511187,-0.00362886,-39.055,9.32,-9.485,0.08,-0.398,-0.347
13:13:22:494606,0.511185,-0.00319512,-45.972,10.676,-10.449,0.04,-0.452,-0.471
13:13:22:514714,0.511183,-0.00288872,-50.706,12.335,-10.963,0.02,-0.566,-0.377
13:13:22:534684,0.511182,-0.00271637,-54.355,13.114,-11.694,0.013,-0.624,-0.402
13:13:22:554878,0.511182,-0.00268172,-57.998,14.261,-13.029,0.019,-0.696,-0.473
13:13:22:574889,0.511183,-0.00278537,-58.77,14.86,-13.412,0.014,-0.697,-0.441
13:13:22:595003,0.511184,-0.00302535,-59.161,14.339,-13.289,0.029,-0.708,-0.465
13:13:22:614987,0.511186,-0.00339654,-59.712,14.625,-13.734,0.037,-0.735,-0.49
13:13:22:635119,0.511187,-0.00389081,-58.925,14.82,-13.017,0.006,-0.769,-0.458
13:13:22:655264,0.511188,-0.004446,-54.539,13.069,-11.538,0.006,-0.75,-0.399
13:13:22:675231,0.511187,-0.00520467,-48.159,11.375,-9.972,0.001,-0.673,-0.301
13:13:22:695187,0.511184,-0.00599589,-41.598,9.376,-8.325,-0.013,-0.531,-0.37
13:13:22:715379,0.511207,-0.00685526,-32.582,5.403,-4.346,-0.056,-0.482,-0.236
13:13:22:735476,0.511198,-0.00776387,-24.588,5.989,-4.399,-0.05,-0.353,-0.106
13:13:22:755495,0.511186,-0.00870276,-16.831,1.47,0.655,-0.133,-0.299,-0.115
13:13:22:775560,0.5112,-0.00965175,-7.7,1.245,0.724,-0.115,-0.155,0.036
13:13:22:795639,0.51121,-0.010591,-0.739,-2.367,4.032,-0.122,-0.093,0.047
13:13:22:815706,0.51119,-0.0114991,7.39,-2.548,5.075,-0.137,-0.049,0.179
13:13:22:835734,0.511196,-0.0123583,12.294,-4.399,7.151,-0.147,-0.029,0.182
13:13:22:855668,0.511204,-0.01315,20.133,-4.855,7.492,-0.13,0.13,0.209
13:13:22:875838,0.51121,-0.013857,29.131,-6.284,7.686,-0.066,0.353,0.256
13:13:22:895925,0.511189,-0.014463,34.097,-7.921,9.095,-0.029,0.44,0.256
13:13:22:915984,0.511201,-0.0149581,39.899,-7.088,9.415,-0.006,0.557,0.265
13:13:22:936087,0.511187,-0.0153289,46.441,-6.794,9.243,0.013,0.688,0.288
13:13:22:956085,0.511208,-0.0155697,51.314,-6.591,9.499,0.042,0.775,0.311
13:13:22:976222,0.511203,-0.0156734,54.519,-7.597,9.997,0.058,0.846,0.338
13:13:22:996355,0.511205,-0.0156386,56.755,-6.908,10.085,0.056,0.896,0.346
13:13:23:16342,0.511212,-0.0154664,57.662,-6.734,10.041,0.063,0.908,0.346
13:13:23:36293,0.511194,-0.0151592,56.381,-5.926,9.066,0.074,0.886,0.303
13:13:23:56445,0.51121,-0.0147264,56.989,-5.672,8.94,0.071,0.903,0.319
13:13:23:76591,0.511199,-0.0141733,53.617,-5,7.804,0.083,0.872,0.224
13:13:23:96599,0.511192,-0.0135148,46.175,-1.664,4.08,0.122,0.776,0.078
13:13:23:116702,0.511184,-0.0127631,39.515,-1.644,3.236,0.158,0.668,0
13:13:23:136751,0.511208,-0.0119364,32.452,1.068,0.271,0.198,0.576,-0.056
13:13:23:156826,0.5112,-0.0110501,24.671,0.871,-1.007,0.219,0.451,-0.117
13:13:23:176830,0.511191,-0.0101237,17.061,2.144,-2.794,0.216,0.333,-0.144
13:13:23:196960,0.511208,-0.00917749,10.603,2.694,-3.146,0.212,0.215,-0.124
