Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:53:07:291956,0.511183,-0.0193393,44.295,-0.319,2.66,0.235,0.732,0.152
01:53:07:311975,0.511191,-0.0197481,46.893,0.045,1.793,0.265,0.771,0.163
01:53:07:332112,0.511203,-0.0200849,49.798,-0.913,1.289,0.311,0.802,0.173
01:53:07:352105,0.511188,-0.0203469,51.971,-0.185,0.472,0.357,0.825,0.171
01:53:07:372277,0.511207,-0.0205352,54.095,-1.17,1.749,0.328,0.872,0.19
01:53:07:392236,0.511201,-0.0206448,55.606,-0.51,1.499,0.312,0.901,0.187
01:53:07:412346,0.511199,-0.0206769,56.639,-1.282,1.634,0.323,0.923,0.196
01:53:07:432336,0.511202,-0.0206318,56.017,-0.307,1.515,0.305,0.91,0.162
01:53:07:452492,0.511208,-0.0205093,56.105,-1.042,1.62,0.332,0.912,0.168
01:53:07:472468,0.51119,-0.0203082,56.705,-0.115,1.188,0.317,0.933,0.183
01:53:07:492594,0.511205,-0.0200344,56.097,-0.884,1.094,0.334,0.94,0.169
01:53:07:512596,0.511195,-0.019685,53.783,0.463,-0.253,0.349,0.918,0.134
01:53:07:532704,0.511187,-0.019265,49.996,-0.303,-1.035,0.388,0.845,0.097
01:53:07:552666,0.511183,-0.0187766,46.582,2.03,-2.563,0.391,0.796,0.056
01:53:07:572842,0.511209,-0.018225,42.875,1.543,-3.625,0.428,0.739,0.042
01:53:07:592847,0.51121,-0.0176104,38.376,2.975,-4.645,0.408,0.666,0.014
01:53:07:612967,0.51121,-0.016939,34.658,2.557,-4.775,0.41,0.606,0.018
01:53:07:632952,0.511212,-0.0162152,29.564,3.267,-4.311,0.342,0.547,0.006
01:53:07:653100,0.511183,-0.0154423,26.21,4.741,-5.425,0.324,0.455,-0.008
01:53:07:673213,0.511183,-0.0146281,22.081,4.026,-5.471,0.313,0.37,-0.036
01:53:07:693205,0.511183,-0.0137773,17.746,4.022,-4.018,0.245,0.299,-0.04
01:53:07:713298,0.51121,-0.0128959,14.152,3.649,-3.821,0.225,0.22,-0.056
01:53:07:733344,0.511206,-0.0119886,10.799,4.474,-3.409,0.145,0.164,-0.049
01:53:07:753452,0.5112,-0.011062,7.719,2.858,-2.409,0.11,0.114,-0.027
01:53:07:773475,0.511191,-0.0101224,4.363,1.463,-2.174,0.101,0.043,-0.017
01:53:07:793573,0.511208,-0.00917749,1.644,-1.914,-1.798,0.126,0.008,-0.002
