Time,X,Y,Fx,Fy,Fz,Mx,My,Mz
01:49:42:339671,0.511211,0.00733035,-42.039,13.13,-5.032,-0.324,-1.259,-0.055
01:49:42:359681,0.511201,0.0068416,-39.136,12.652,-4.231,-0.335,-1.185,-0.055
01:49:42:379821,0.511192,0.00631357,-36.617,11.42,-3.763,-0.318,-1.125,-0.057
01:49:42:399819,0.511182,0.00574723,-33.332,11.083,-3.569,-0.303,-1.038,-0.052
01:49:42:419941,0.511204,0.00514482,-30.939,10.24,-3.212,-0.279,-0.957,-0.071
01:49:42:439938,0.511196,0.00450617,-27.129,9.529,-2.924,-0.266,-0.864,-0.047
01:49:42:460066,0.511186,0.00383367,-24.538,8.645,-2.457,-0.263,-0.777,-0.042
01:49:42:480055,0.511206,0.00312925,-22.009,8.244,-2.243,-0.242,-0.712,-0.041
01:49:42:500176,0.511195,0.00239456,-19.78,7.748,-2.25,-0.208,-0.657,-0.043
01:49:42:520204,0.511182,0.00163082,-17.862,7.559,-2.086,-0.208,-0.611,-0.044
01:49:42:540299,0.511198,0.000840674,-15.545,6.819,-1.182,-0.212,-0.527,-0.037
01:49:42:560321,0.511182,2.5749e-05,-13.341,6.131,-1.991,-0.173,-0.467,-0.032
01:49:42:580375,0.511194,-0.000811822,-11.897,5.211,-1.456,-0.194,-0.381,-0.013
01:49:42:600428,0.511204,-0.00167059,-10.202,4.974,-0.459,-0.2,-0.328,-0.01
01:49:42:620565,0.511211,-0.00254731,-8.816,4.237,-0.66,-0.171,-0.285,-0.009
01:49:42:640593,0.511186,-0.00344093,-7.139,3.533,-0.239,-0.157,-0.232,-0.002
01:49:42:660699,0.511188,-0.004446,-5.715,2.922,-0.171,-0.134,-0.189,0.001
01:49:42:680687,0.511187,-0.00526786,-4.443,2.876,-0.209,-0.122,-0.152,0.001
01:49:42:700788,0.511182,-0.00619712,-3.078,2.26,-0.243,-0.091,-0.114,0.002
01:49:42:720805,0.511204,-0.0071338,-1.861,1.806,-0.084,-0.083,-0.07,0.004
01:49:42:740940,0.511194,-0.00807541,-0.217,0.902,0.479,-0.059,-0.026,0.007
01:49:42:760937,0.511211,-0.00902019,0.857,0.274,0.585,-0.033,0.012,0.005
01:49:42:781063,0.511194,-0.00996424,1.51,1.81,0.528,-0.076,0.032,0.012
01:49:42:801047,0.511203,-0.0109072,3.332,-0.354,1.046,0.01,0.059,0.008
01:49:42:821171,0.51121,-0.0118461,3.728,1.585,0.826,-0.042,0.077,0.009
01:49:42:841116,0.511184,-0.0127772,5.489,1.324,0.866,-0.028,0.124,0.008
01:49:42:861305,0.511185,-0.0137001,6.53,2.89,0.831,-0.056,0.149,0.003
01:49:42:881250,0.511183,-0.0146123,8.063,1.947,1.18,-0.015,0.164,0.011
01:49:42:901431,0.51121,-0.0155115,9.435,3.484,0.489,-0.022,0.176,0.01
01:49:42:921548,0.511204,-0.0163939,10.956,3.875,1.128,-0.044,0.22,0.018
01:49:42:941553,0.511195,-0.0172583,12.807,4.718,1.022,-0.057,0.268,0.024
01:49:42:961673,0.511186,-0.018103,15.045,5.031,1.416,-0.042,0.301,0.028
01:49:42:981668,0.511205,-0.0189265,16.401,5.628,0.581,-0.026,0.309,0.031
01:49:43:1794,0.511193,-0.0197248,18.488,6.168,0.098,-0.009,0.331,0.042
01:49:43:21792,0.511209,-0.0204982,20.236,6.579,0.658,-0.033,0.389,0.051
01:49:43:41919,0.511196,-0.0212417,22.695,7.808,0.756,-0.053,0.439,0.058
01:49:43:61880,0.511183,-0.0219557,24.952,6.845,-0.212,0.026,0.456,0.064
01:49:43:82035,0.511199,-0.0226401,26.964,7.558,-1.856,0.093,0.451,0.068
01:49:43:102157,0.511187,-0.0232888,29.581,6.886,-0.958,0.079,0.518,0.088
01:49:43:122135,0.511204,-0.0239055,31.781,8.004,-1.225,0.089,0.542,0.102
01:49:43:142152,0.511194,-0.0244833,34.047,7.097,-0.312,0.088,0.597,0.124
01:49:43:162286,0.511185,-0.0250235,37.27,7.291,-0.417,0.103,0.665,0.143
01:49:43:182283,0.511207,-0.0255263,38.642,7.67,0.098,0.077,0.709,0.171
01:49:43:202434,0.511203,-0.0259871,41.799,6.781,0.276,0.1,0.773,0.185
01:49:43:222514,0.5112,-0.0264062,46.309,7.588,0.621,0.092,0.825,0.222
01:49:43:242549,0.5112,-0.0267833,47.332,5.854,1.559,0.11,0.801,0.165
01:49:43:262653,0.511204,-0.0271173,47.666,7.974,-0.702,0.164,0.799,0.128
01:49:43:282757,0.51121,-0.0274064,49.94,6.914,-0.358,0.173,0.836,0.14
01:49:43:302764,0.51119,-0.0276489,51.948,7.74,-0.165,0.153,0.884,0.171
01:49:43:322912,0.511204,-0.0278482,53.128,6.697,-0.458,0.186,0.889,0.179
01:49:43:342875,0.511192,-0.0279991,53.334,6.41,-0.835,0.22,0.882,0.179
01:49:43:362865,0.511183,-0.0281038,54.5,6.873,-1.168,0.231,0.911,0.182
01:49:43:382951,0.511207,-0.0281648,55.29,7.457,-1.122,0.196,0.931,0.19
01:49:43:403143,0.511206,-0.0281765,55.028,7.456,-1.03,0.207,0.926,0.188
01:49:43:423135,0.511209,-0.0281414,54.529,6.125,-0.927,0.22,0.908,0.181
01:49:43:443084,0.511187,-0.0280575,55.143,7.351,-1.043,0.207,0.93,0.194
01:49:43:463269,0.511197,-0.0279298,54.909,6.918,-1.165,0.212,0.925,0.184
01:49:43:483273,0.511212,-0.027756,55.143,6.908,-1.208,0.211,0.944,0.195
01:49:43:503363,0.5112,-0.0275332,54.242,6.667,-1.602,0.229,0.945,0.182
01:49:43:523521,0.511192,-0.0272663,51.918,5.544,-2.12,0.274,0.894,0.172
01:49:43:543492,0.511187,-0.0269546,49.308,5.672,-2.637,0.288,0.843,0.145
01:49:43:563655,0.511185,-0.026599,47.264,7.472,-4.058,0.298,0.818,0.112
01:49:43:583589,0.511185,-0.0262011,45,7.053,-4.323,0.309,0.769,0.112
01:49:43:603719,0.51119,-0.025761,41.78,5.157,-2.077,0.232,0.787,0.161
01:49:43:623742,0.511196,-0.02528,37.955,8.009,-3.362,0.199,0.732,0.087
01:49:43:643900,0.511203,-0.0247594,35.507,7.479,-3.383,0.204,0.652,0.048
01:49:43:663884,0.511184,-0.0241976,33.64,8.249,-4.091,0.202,0.604,0.061
01:49:43:684021,0.511195,-0.023602,30.497,7.777,-3.785,0.202,0.543,0.024
01:49:43:704157,0.511207,-0.0229698,27.864,8.926,-4.834,0.195,0.492,-0.011
01:49:43:724138,0.51119,-0.0223022,25.379,8.343,-5.057,0.205,0.439,-0.028
01:49:43:744139,0.511204,-0.021604,22.669,9.323,-5.227,0.155,0.388,-0.038
01:49:43:764278,0.511188,-0.020873,20.032,8.17,-5.099,0.171,0.337,-0.054
01:49:43:784231,0.511201,-0.0201146,17.772,8.423,-5.753,0.172,0.27,-0.068
01:49:43:804438,0.511183,-0.0193279,15.93,7.404,-5.096,0.168,0.226,-0.052
01:49:43:824373,0.511196,-0.0185179,13.926,7.851,-4.972,0.13,0.2,-0.071
01:49:43:844520,0.511206,-0.0176839,12.383,7.176,-3.887,0.064,0.19,-0.034
01:49:43:864637,0.511185,-0.0168277,10.526,6.982,-3.019,0.029,0.169,-0.035
01:49:43:884622,0.511192,-0.0159541,8.824,6.553,-2.879,0.023,0.142,-0.041
01:49:43:904756,0.511197,-0.0150634,7.196,6.074,-2.877,0.017,0.098,-0.031
01:49:43:924761,0.5112,-0.0141581,5.698,5.004,-2.405,0.021,0.064,-0.023
01:49:43:944860,0.511201,-0.0132406,4.296,4.192,-2.014,0.004,0.049,-0.014
01:49:43:964876,0.511198,-0.0123129,3.2,2.572,-1.407,0,0.049,-0.005
01:49:43:984990,0.511193,-0.0113769,2.151,1.864,-1.306,0.002,0.03,-0.002
01:49:44:4950,0.511184,-0.0104358,0.97,0.521,-1.172,0.015,0.012,0.002
01:49:44:25111,0.511202,-0.00949211,-0.076,-0.348,-0.504,-0.002,0.009,0.001
01:49:44:45134,0.511188,-0.00854721,-1.148,-0.567,-0.147,0.004,-0.025,-0.001
01:49:44:65243,0.511199,-0.00760405,-2.385,-0.288,-0.115,-0.009,-0.065,-0.001
01:49:44:85241,0.511209,-0.0066647,-3.743,0.482,0.002,-0.035,-0.101,-0.004
01:49:44:105380,0.511185,-0.00573133,-5.067,0.847,-0.08,-0.048,-0.138,-0.008
01:49:44:125376,0.511188,-0.00480678,-6.575,1.51,-0.161,-0.075,-0.183,-0.009
01:49:44:145376,0.511187,-0.00389304,-8.24,2.307,0.21,-0.104,-0.234,-0.015
01:49:44:165444,0.511184,-0.00299242,-9.122,2.504,0.415,-0.114,-0.259,-0.016
01:49:44:185626,0.511208,-0.00210655,-10.612,2.846,0.265,-0.128,-0.303,-0.017
01:49:44:205633,0.511199,-0.00123864,-12.297,3.767,0.404,-0.159,-0.347,-0.022
01:49:44:225734,0.511189,-0.000390682,-14.208,4.398,0.393,-0.177,-0.392,-0.021
01:49:44:245744,0.511206,0.000436427,-15.934,5.103,0.44,-0.199,-0.414,-0.029
01:49:44:265880,0.51119,0.00123893,-18.253,5.31,0.209,-0.2,-0.484,-0.014
01:49:44:285810,0.511203,0.00201667,-20.234,6.242,0.278,-0.234,-0.526,-0.028
01:49:44:305816,0.511186,0.00276527,-22.539,6.708,0.639,-0.25,-0.569,-0.032
01:49:44:325986,0.511195,0.00348557,-24.623,7.371,0.353,-0.269,-0.612,-0.033
01:49:44:346115,0.511205,0.00417411,-26.933,7.709,-0.084,-0.281,-0.668,-0.031
01:49:44:366098,0.511185,0.00482932,-29.713,8.131,0.16,-0.298,-0.737,-0.033
01:49:44:386235,0.511193,0.00544999,-32.178,8.619,0.115,-0.323,-0.796,-0.04
01:49:44:406237,0.511203,0.00603558,-34.586,9.123,-0.072,-0.337,-0.868,-0.029
01:49:44:426343,0.511211,0.00658299,-36.922,9.144,-0.488,-0.342,-0.932,-0.033
01:49:44:446474,0.511191,0.00708997,-39.495,10.563,-0.474,-0.39,-0.99,-0.04
01:49:44:466471,0.511202,0.00755876,-41.783,10.635,-0.801,-0.4,-1.048,-0.044
01:49:44:486427,0.511183,0.00798385,-43.301,11.182,-0.674,-0.427,-1.09,-0.051
01:49:44:506629,0.511195,0.00836898,-46.009,11.505,-0.819,-0.445,-1.158,-0.058
01:49:44:526715,0.51121,0.00871039,-47.394,12.178,-1.03,-0.469,-1.189,-0.059
01:49:44:546669,0.511196,0.00900631,-49.184,13.095,-1.434,-0.492,-1.234,-0.062
01:49:44:566824,0.511184,0.00925675,-51.048,13.793,-1.736,-0.486,-1.284,-0.08
01:49:44:586839,0.511203,0.00946363,-53.51,13.962,-1.97,-0.505,-1.331,-0.083
01:49:44:606963,0.511196,0.00962307,-54.34,14.827,-3.323,-0.469,-1.385,-0.105
01:49:44:626983,0.51119,0.00973612,-54.684,14.891,-3.726,-0.457,-1.404,-0.092
01:49:44:647109,0.511187,0.00980223,-55.09,14.831,-3.32,-0.481,-1.416,-0.085
01:49:44:667041,0.511186,0.00982181,-55.629,15.113,-4.379,-0.441,-1.442,-0.09
01:49:44:687229,0.511187,0.00979486,-55.116,14.845,-5.021,-0.395,-1.443,-0.092
01:49:44:707208,0.511191,0.00972035,-55.661,15.183,-4.925,-0.408,-1.454,-0.105
01:49:44:727363,0.511197,0.00959968,-55.605,15.366,-5.722,-0.403,-1.464,-0.103
01:49:44:747312,0.511204,0.00943288,-56.023,15.487,-5.867,-0.398,-1.485,-0.108
01:49:44:767461,0.511186,0.00921838,-55.703,15.06,-5.977,-0.377,-1.505,-0.102
01:49:44:787581,0.511198,0.00895957,-52.849,14.345,-5.537,-0.376,-1.468,-0.066
01:49:44:807567,0.511183,0.0086551,-51.139,13.613,-6.077,-0.313,-1.443,-0.099
01:49:44:827545,0.511198,0.00830831,-48.178,12.439,-5.491,-0.297,-1.394,-0.077
01:49:44:847695,0.511185,0.00791644,-45.309,11.723,-5.242,-0.284,-1.335,-0.063
01:49:44:867845,0.511205,0.00748343,-42.003,10.259,-4.986,-0.255,-1.266,-0.056
01:49:44:887832,0.511194,0.00700835,-39.787,10.27,-4.723,-0.258,-1.213,-0.061
01:49:44:907948,0.511185,0.00649337,-37.262,9.55,-4.188,-0.233,-1.155,-0.062
01:49:44:927954,0.511206,0.00594048,-34.463,8.803,-3.744,-0.227,-1.071,-0.053
01:49:44:947913,0.511197,0.00534958,-31.625,8.319,-3.817,-0.206,-0.982,-0.069
01:49:44:968064,0.511188,0.00472219,-28.005,7.59,-3.673,-0.197,-0.889,-0.04
01:49:44:988075,0.511209,0.00406176,-25.423,6.807,-2.42,-0.201,-0.809,-0.041
01:49:45:8248,0.511199,0.00336778,-22.938,6.31,-3.311,-0.146,-0.758,-0.044
01:49:45:28198,0.511189,0.00264233,-20.406,5.807,-3.069,-0.133,-0.69,-0.037
01:49:45:48330,0.511206,0.00188858,-18.557,5.62,-2.618,-0.131,-0.641,-0.041
01:49:45:68443,0.511193,0.00110673,-16.477,4.897,-2.712,-0.094,-0.591,-0.04
01:49:45:88454,0.511208,0.000300143,-14.378,4.625,-2.824,-0.094,-0.506,-0.046
01:49:45:108577,0.511191,-0.000530763,-12.279,3.819,-1.618,-0.103,-0.435,-0.03
01:49:45:128787,0.511201,-0.00138199,-10.723,3.018,-1.916,-0.11,-0.354,-0.015
01:49:45:148694,0.511209,-0.00225297,-8.924,2.324,-0.989,-0.102,-0.302,-0.009
01:49:45:168817,0.511185,-0.00314154,-7.666,2.075,-1.497,-0.083,-0.268,-0.009
01:49:45:188810,0.511188,-0.00404441,-6.221,1.553,-0.948,-0.08,-0.213,-0.005
01:49:45:208939,0.511187,-0.0049602,-4.71,1.033,-0.423,-0.067,-0.165,-0.001
01:49:45:228958,0.511184,-0.00588652,-3.369,0.488,-0.934,-0.043,-0.124,0.003
01:49:45:249082,0.511207,-0.00682096,-2.158,-0.07,-0.628,-0.021,-0.087,0.004
01:49:45:269061,0.511198,-0.00776127,-0.561,-1.063,0.055,0.005,-0.038,0.006
01:49:45:289196,0.511186,-0.00870455,0.435,-1.685,0.441,0.026,-0.006,0.003
01:49:45:309186,0.5112,-0.00964946,1.535,-2.381,0.32,0.056,0.02,0.005
01:49:45:329315,0.51121,-0.0105936,2.542,-1.654,0.201,0.052,0.038,0.009
01:49:45:349435,0.511189,-0.0115332,3.69,-0.936,0.41,0.041,0.061,0.012
01:49:45:369444,0.511193,-0.0124677,4.925,-0.47,0.166,0.046,0.085,0.01
01:49:45:389548,0.511196,-0.0133943,6.308,0.311,0.476,0.038,0.108,0.011
01:49:45:409571,0.511194,-0.0143099,7.61,0.449,0.277,0.062,0.11,0.017
01:49:45:429708,0.511191,-0.015213,9.261,1.463,0.252,0.047,0.143,0.024
01:49:45:449668,0.511187,-0.016101,10.593,2.229,0.889,0.009,0.207,0.018
01:49:45:469817,0.511208,-0.016973,12.203,2.969,0.186,0.015,0.227,0.025
01:49:45:489823,0.511199,-0.0178242,14.019,3.06,0.481,0.015,0.267,0.032
01:49:45:509924,0.511189,-0.0186537,16.092,3.9,0.537,0.031,0.287,0.032
01:49:45:529949,0.511206,-0.019462,17.654,4.901,0.12,0.015,0.312,0.043
01:49:45:550051,0.511194,-0.0202427,19.833,4.828,0.267,0.042,0.349,0.044
01:49:45:570064,0.51121,-0.020998,21.721,4.652,-0.334,0.071,0.381,0.057
01:49:45:590185,0.511197,-0.0217218,24.311,5.741,-0.043,0.043,0.441,0.064
01:49:45:610209,0.511184,-0.022415,26.369,5.284,-1.352,0.123,0.449,0.069
01:49:45:630332,0.5112,-0.0230775,28.688,5.665,-1.595,0.134,0.48,0.092
01:49:45:650278,0.511188,-0.0237034,31.935,4.775,-1.348,0.181,0.524,0.107
01:49:45:670420,0.511207,-0.0242955,33.445,5.886,-1.54,0.177,0.537,0.124
01:49:45:690370,0.511198,-0.0248484,36.529,5.513,-0.438,0.159,0.613,0.152
01:49:45:710548,0.511189,-0.0253624,38.337,5.385,-0.651,0.178,0.658,0.14
01:49:45:730531,0.511184,-0.0258366,41.201,5.436,-0.283,0.167,0.708,0.171
01:49:45:750662,0.51121,-0.0262723,43.154,4.981,0.003,0.176,0.735,0.177
01:49:45:770669,0.51121,-0.0266634,45.524,5.271,0.237,0.182,0.777,0.181
01:49:45:790794,0.511182,-0.0270092,47.564,5.06,0.424,0.163,0.815,0.192
01:49:45:810920,0.511188,-0.0273134,49.321,4.261,1.098,0.176,0.839,0.195
01:49:45:830911,0.511196,-0.0275731,51.076,4.8,-0.046,0.215,0.866,0.194
01:49:45:851034,0.511209,-0.0277878,52.571,4.663,-1.022,0.268,0.891,0.2
01:49:45:870989,0.511195,-0.0279542,53.401,4.908,-0.762,0.259,0.905,0.207
01:49:45:891158,0.511185,-0.0280744,54.136,4.153,-0.26,0.249,0.919,0.21
01:49:45:911112,0.511208,-0.0281509,55.076,4.742,-0.168,0.232,0.943,0.212
01:49:45:931288,0.511206,-0.0281779,55.262,4.407,-0.363,0.253,0.947,0.202
01:49:45:951262,0.511208,-0.0281583,54.565,4.627,-0.535,0.246,0.926,0.19
01:49:45:971390,0.511184,-0.0280899,55.119,4.678,-0.169,0.244,0.942,0.201
01:49:45:991350,0.511194,-0.0279775,55.023,4.738,-0.584,0.246,0.945,0.201
01:49:46:11520,0.511207,-0.0278188,55.112,4.515,-0.545,0.246,0.956,0.206
01:49:46:31526,0.511193,-0.0276117,54.662,4.716,-0.871,0.251,0.967,0.194
01:49:46:51650,0.511184,-0.0273591,52.786,5.573,-1.71,0.252,0.941,0.17
01:49:46:71654,0.511208,-0.0270651,50.033,6.162,-2.217,0.274,0.877,0.13
01:49:46:91777,0.511205,-0.0267238,47.671,6.482,-3.334,0.301,0.844,0.105
01:49:46:111776,0.511206,-0.0263398,45.428,7.397,-4.056,0.293,0.808,0.091
01:49:46:131910,0.511208,-0.0259135,42.401,7.256,-3.542,0.261,0.751,0.069
01:49:46:151894,0.511183,-0.0254438,39.613,7.913,-4.317,0.269,0.706,0.046
01:49:46:172026,0.511191,-0.0249362,36.25,8.628,-5.298,0.282,0.622,0.007
01:49:46:192018,0.5112,-0.0243899,34.583,8.81,-4.993,0.241,0.582,0.035
01:49:46:212138,0.511211,-0.0238059,31.365,9.336,-5.122,0.228,0.526,0.003
01:49:46:232156,0.511192,-0.0231838,29.398,8.578,-4.761,0.214,0.514,-0.003
01:49:46:252275,0.511206,-0.0225291,26.056,9.134,-4.295,0.162,0.475,-0.024
01:49:46:272294,0.511189,-0.0218395,23.701,8.742,-5.185,0.189,0.408,-0.042
01:49:46:292403,0.511203,-0.0211204,20.995,8.976,-5.951,0.189,0.342,-0.06
01:49:46:312409,0.511186,-0.02037,18.654,8.159,-5.202,0.161,0.304,-0.062
01:49:46:332466,0.5112,-0.0195934,16.635,8.437,-5.433,0.16,0.247,-0.067
01:49:46:352503,0.511212,-0.0187915,14.701,7.347,-5.101,0.157,0.212,-0.071
01:49:46:372639,0.511193,-0.0179637,12.892,7.46,-3.738,0.078,0.209,-0.051
01:49:46:392776,0.511202,-0.017116,11.003,7.229,-3.147,0.039,0.178,-0.045
01:49:46:412770,0.51121,-0.0162481,9.488,6.889,-2.681,0.015,0.158,-0.036
01:49:46:432752,0.511186,-0.0153615,7.668,6.283,-3.392,0.042,0.099,-0.039
01:49:46:452891,0.511189,-0.0144609,6.115,5.625,-2.754,0.01,0.08,-0.025
01:49:46:472833,0.511191,-0.0135477,4.844,4.3,-2.023,0.003,0.067,-0.013
01:49:46:493038,0.511189,-0.0126227,3.48,3.548,-1.828,0.005,0.037,-0.013
01:49:46:513096,0.511185,-0.0116892,2.515,1.979,-1.406,0.013,0.034,-0.003
01:49:46:533150,0.511206,-0.0107504,1.265,0.508,-0.463,-0.017,0.043,0.007
01:49:46:553251,0.511197,-0.00980682,0.193,-0.111,-0.446,-0.009,0.019,0.004
01:49:46:573265,0.511184,-0.00886186,-0.816,-0.211,-0.368,-0.005,-0.012,0.001
01:49:46:593361,0.511196,-0.00791839,-1.884,0.091,-0.124,-0.016,-0.05,0.001
01:49:46:613384,0.511206,-0.00697733,-3.099,0.185,0.426,-0.026,-0.083,-0.005
01:49:46:633511,0.511183,-0.00604164,-4.231,1.133,-0.655,-0.051,-0.113,-0.003
01:49:46:653500,0.511187,-0.00511389,-5.721,1.489,0.163,-0.071,-0.159,-0.009
01:49:46:673645,0.511188,-0.0041962,-7.254,2.335,0.178,-0.1,-0.207,-0.011
01:49:46:693563,0.511185,-0.00329094,-8.646,2.676,0.268,-0.115,-0.245,-0.012
01:49:46:713728,0.51121,-0.00240006,-10.069,3.184,0.326,-0.136,-0.286,-0.017
01:49:46:733766,0.511203,-0.00152615,-11.627,3.825,0.411,-0.159,-0.332,-0.02
01:49:46:753863,0.511192,-0.000670652,-13.549,4.626,0.616,-0.186,-0.377,-0.024
01:49:46:773862,0.511211,0.000163317,-15.366,5.433,0.596,-0.207,-0.416,-0.026
01:49:46:793982,0.511195,0.000974233,-17.426,5.725,0.468,-0.218,-0.475,-0.021
01:49:46:813997,0.511209,0.00176019,-19.346,6.644,0.759,-0.251,-0.521,-0.029
01:49:46:834126,0.511192,0.00251914,-21.317,6.997,0.761,-0.263,-0.561,-0.03
01:49:46:854124,0.511202,0.00324918,-23.835,7.897,0.19,-0.283,-0.598,-0.035
01:49:46:874187,0.511182,0.00394791,-26.219,8.34,0.058,-0.299,-0.651,-0.035
01:49:46:894224,0.511192,0.00461447,-28.649,8.452,0.324,-0.305,-0.705,-0.036
01:49:46:914382,0.5112,0.00524765,-31.298,9.074,0.317,-0.337,-0.773,-0.044
01:49:46:934365,0.51121,0.00584473,-33.903,9.506,-0.165,-0.342,-0.846,-0.03
01:49:46:954494,0.511188,0.00640364,-35.674,10.269,-0.074,-0.377,-0.898,-0.04
01:49:46:974481,0.511198,0.00692538,-38.015,10.655,-0.306,-0.391,-0.947,-0.042
01:49:46:994597,0.511208,0.00740753,-39.982,10.619,-0.505,-0.397,-1.009,-0.043
01:49:47:14625,0.511189,0.0078471,-42.796,11.225,-0.159,-0.435,-1.069,-0.065
01:49:47:34731,0.511201,0.00824604,-44.817,12.492,-0.66,-0.471,-1.125,-0.055
01:49:47:54721,0.511186,0.00860041,-46.592,12.771,-0.729,-0.488,-1.164,-0.063
01:49:47:74815,0.5112,0.00891273,-48.166,13.608,-1.481,-0.502,-1.231,-0.06
01:49:47:95011,0.511188,0.00917841,-49.556,13.358,-1.421,-0.501,-1.263,-0.063
01:49:47:114974,0.511206,0.00940075,-51.505,14.682,-2.191,-0.521,-1.307,-0.074
01:49:47:135092,0.511197,0.0095754,-52.349,15.299,-2.444,-0.525,-1.325,-0.078
01:49:47:155112,0.511192,0.00970349,-53.348,15.642,-2.533,-0.523,-1.351,-0.085
01:49:47:175225,0.511188,0.00978561,-54.156,15.571,-3.649,-0.485,-1.381,-0.095
01:49:47:195210,0.511186,0.00982045,-54.867,15.705,-4.075,-0.46,-1.41,-0.109
01:49:47:215354,0.511187,0.00980876,-54.68,16.082,-5.29,-0.418,-1.422,-0.115
01:49:47:235366,0.51119,0.00975077,-54.86,16.149,-5.44,-0.422,-1.427,-0.114
01:49:47:255340,0.511195,0.00964527,-54.97,15.786,-5.451,-0.417,-1.435,-0.118
01:49:47:275431,0.511201,0.00949379,-55.254,15.978,-5.249,-0.415,-1.45,-0.124
01:49:47:295585,0.511211,0.00929578,-55.293,16.004,-5.604,-0.407,-1.474,-0.121
01:49:47:315585,0.511193,0.00905094,-53.748,15.774,-6.098,-0.392,-1.471,-0.092
01:49:47:335719,0.511208,0.00876287,-50.395,15.561,-5.704,-0.395,-1.41,-0.057
