Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:05:44:591654,0.374071,0.155278,0.175,4.87,-0.372,0.632,-0.012,0.115,609,0.00557185
18:05:44:596796,0.374042,0.155915,0.789,4.355,0.036,0.604,0.006,0.097,562,0.00281525
18:05:44:601787,0.374038,0.156452,1.051,3.861,0.051,0.574,0.038,0.094,513,-5.8651e-05
18:05:44:606912,0.374052,0.156902,1.164,3.203,-0.254,0.531,0.099,0.107,513,-5.8651e-05
18:05:44:611951,0.374043,0.157243,1.121,2.952,-0.465,0.506,0.127,0.116,465,-0.0028739
18:05:44:617038,0.37406,0.157488,1.072,2.965,-0.496,0.489,0.127,0.117,465,-0.0028739
18:05:44:622003,0.374049,0.15763,1.133,3.157,-0.34,0.492,0.105,0.109,419,-0.00557185
18:05:44:627052,0.374063,0.157679,1.294,3.351,-0.082,0.499,0.066,0.092,375,-0.00815249
18:05:44:632158,0.374061,0.157618,1.312,3.254,-0.01,0.49,0.048,0.083,375,-0.00815249
18:05:44:637156,0.374072,0.157472,1.124,2.89,-0.134,0.461,0.038,0.077,335,-0.0104985
18:05:44:642292,0.374067,0.157215,0.936,2.698,-0.356,0.449,0.039,0.079,298,-0.0126686
18:05:44:647296,0.374045,0.156843,0.636,2.611,-0.751,0.445,0.045,0.087,298,-0.0126686
18:05:44:652387,0.374038,0.156387,0.38,2.63,-0.922,0.44,0.049,0.095,270,-0.0143109
18:05:44:657399,0.374052,0.155838,0.01,2.743,-0.933,0.426,0.048,0.106,251,-0.0154252
18:05:44:662507,0.374046,0.155177,-0.052,2.895,-0.834,0.425,0.042,0.112,251,-0.0154252
18:05:44:667525,0.374055,0.154429,0.121,3.038,-0.668,0.439,0.029,0.111,245,-0.0157771
18:05:44:672654,0.374044,0.153563,0.161,2.853,-0.572,0.437,0.02,0.099,245,-0.0157771
18:05:44:677652,0.374047,0.15261,-0.135,2.086,-0.474,0.395,0.012,0.072,247,-0.0156598
18:05:44:682766,0.374063,0.151566,-0.409,1.266,-0.543,0.345,0.01,0.057,256,-0.015132
18:05:44:687779,0.374059,0.150404,-0.28,0.958,-0.692,0.334,0.013,0.057,256,-0.015132
18:05:44:692920,0.374067,0.149149,0.333,0.738,-0.85,0.34,0.025,0.051,273,-0.0141349
18:05:44:697937,0.374037,0.147788,0.815,0.534,-0.759,0.33,0.045,0.035,298,-0.0126686
18:05:44:702909,0.374069,0.146341,1.368,-0.014,-0.369,0.281,0.09,0.004,298,-0.0126686
18:05:44:708045,0.374062,0.144781,1.537,-0.449,-0.149,0.243,0.117,-0.004,328,-0.0109091
18:05:44:713175,0.374059,0.143132,1.428,-0.951,-0.155,0.22,0.127,-0.002,328,-0.0109091
18:05:44:718158,0.374053,0.141393,1.182,-1.068,-0.321,0.233,0.108,-0.001,359,-0.00909091
18:05:44:723269,0.374048,0.139712,0.839,-0.795,-0.501,0.274,0.065,-0.007,386,-0.00750733
18:05:44:728305,0.374062,0.138129,0.756,-0.306,-0.491,0.301,0.046,-0.002,386,-0.00750733
18:05:44:733401,0.374047,0.136648,0.823,0.742,-0.437,0.333,0.04,0.035,406,-0.00633431
18:05:44:738396,0.374055,0.135267,0.913,1.468,-0.499,0.356,0.048,0.071,425,-0.00521994
18:05:44:743549,0.374046,0.133978,1.057,2.236,-0.774,0.393,0.067,0.101,425,-0.00521994
18:05:44:748535,0.374056,0.132806,1.117,2.384,-0.996,0.41,0.078,0.097,444,-0.00410557
18:05:44:753527,0.374053,0.131718,0.889,2.046,-1.21,0.412,0.081,0.073,456,-0.00340176
18:05:44:758650,0.374034,0.130729,0.372,1.575,-1.231,0.4,0.066,0.061,456,-0.00340176
18:05:44:763663,0.374039,0.129849,-0.69,0.888,-1.152,0.377,0.018,0.06,467,-0.0027566
18:05:44:768783,0.374034,0.129065,-1.09,0.753,-1.068,0.38,-0.026,0.067,467,-0.0027566
18:05:44:773791,0.374055,0.128389,-0.621,1.11,-0.982,0.41,-0.036,0.068,483,-0.00181818
18:05:44:778912,0.374066,0.127812,0.614,1.958,-0.675,0.483,-0.011,0.059,500,-0.000821114
18:05:44:783895,0.374066,0.127327,1.146,2.33,-0.365,0.514,0.022,0.049,500,-0.000821114
18:05:44:789045,0.374054,0.126939,1.14,2.34,0.035,0.495,0.077,0.043,522,0.000469208
18:05:44:794026,0.374032,0.12665,1.039,2.309,0.174,0.46,0.106,0.051,553,0.00228739
18:05:44:799154,0.374046,0.126467,1.57,2.942,0.314,0.454,0.135,0.074,553,0.00228739
18:05:44:804161,0.374044,0.126389,2.32,3.819,0.477,0.495,0.15,0.091,583,0.00404692
18:05:44:809272,0.374035,0.126402,3.188,5.12,0.792,0.558,0.169,0.111,583,0.00404692
18:05:44:814271,0.374063,0.126522,3.216,5.71,0.889,0.563,0.17,0.124,618,0.00609971
18:05:44:819421,0.374033,0.126731,2.475,6.507,0.638,0.54,0.138,0.154,651,0.00803519
18:05:44:824437,0.374036,0.127051,1.699,7.272,0.217,0.545,0.1,0.18,651,0.00803519
18:05:44:829517,0.374032,0.127461,0.386,8.576,-0.53,0.593,0.043,0.224,680,0.00973607
18:05:44:834542,0.374056,0.127989,-0.555,9.113,-0.912,0.617,0.012,0.246,704,0.0111437
18:05:44:839666,0.374069,0.128611,-1.936,9.019,-1.113,0.6,-0.047,0.25,704,0.0111437
18:05:44:844653,0.374053,0.129194,-2.58,8.574,-1.041,0.576,-0.102,0.233,720,0.0120821
18:05:44:849789,0.374049,0.129676,-2.615,7.974,-0.874,0.571,-0.165,0.197,726,0.012434
18:05:44:854777,0.374051,0.130071,-1.485,7.701,-0.885,0.595,-0.137,0.179,726,0.012434
18:05:44:859892,0.374064,0.130366,-0.415,7.577,-0.984,0.601,-0.063,0.18,725,0.0123754
18:05:44:864902,0.37405,0.130546,1.131,7.334,-1.051,0.593,0.073,0.186,725,0.0123754
18:05:44:870027,0.374043,0.130634,1.984,7.154,-0.929,0.591,0.142,0.184,719,0.0120235
18:05:44:875043,0.374048,0.130627,2.821,6.885,-0.534,0.601,0.176,0.17,710,0.0114956
18:05:44:880165,0.374066,0.130519,2.944,6.685,-0.292,0.61,0.155,0.16,710,0.0114956
