Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:23:21:957704,0.374055,0.0971387,-0.574,-0.502,-0.248,-0.027,-0.058,-0.014,540,0.00152493
23:23:21:962869,0.374036,0.0981235,-0.444,-0.529,-0.397,-0.021,-0.046,-0.011,540,0.00152493
23:23:21:967848,0.374057,0.0991128,-0.299,-0.502,-0.467,-0.017,-0.031,-0.01,540,0.00152493
23:23:21:972842,0.374035,0.10008,-0.064,-0.44,-0.293,-0.019,0,-0.011,540,0.00152493
23:23:21:977996,0.374057,0.101049,0.092,-0.433,-0.01,-0.026,0.022,-0.011,540,0.00152493
23:23:21:982981,0.374035,0.101999,0.281,-0.476,0.384,-0.035,0.04,-0.011,540,0.00152493
23:23:21:988109,0.374056,0.102955,0.338,-0.485,0.471,-0.033,0.037,-0.012,540,0.00152493
23:23:21:993094,0.374032,0.103887,0.328,-0.378,0.354,-0.018,0.016,-0.013,540,0.00152493
23:23:21:998216,0.374052,0.104826,0.295,-0.225,0.255,-0.008,0.005,-0.01,539,0.00146628
23:23:22:3226,0.374074,0.105754,0.249,0.046,0.27,0,0.008,-0.001,539,0.00146628
23:23:22:8355,0.374052,0.106663,0.226,0.195,0.368,0.004,0.018,0.003,539,0.00146628
23:23:22:13357,0.374072,0.107574,0.167,0.289,0.5,0.014,0.027,0.004,539,0.00146628
23:23:22:18462,0.374053,0.108466,0.055,0.235,0.537,0.017,0.022,0.003,539,0.00146628
23:23:22:23473,0.374031,0.109351,-0.25,0.008,0.524,0.006,0.002,-0.001,537,0.00134897
23:23:22:28598,0.374057,0.110236,-0.439,-0.156,0.455,-0.008,-0.01,-0.004,537,0.00134897
23:23:22:33596,0.374042,0.111097,-0.439,-0.274,0.249,-0.023,-0.019,-0.004,537,0.00134897
23:23:22:38710,0.37407,0.111965,-0.125,-0.255,0.062,-0.019,-0.018,-0.003,537,0.00134897
23:23:22:43729,0.374059,0.112802,0.077,-0.269,0.051,-0.013,-0.014,-0.008,537,0.00134897
23:23:22:48854,0.37405,0.113633,0.22,-0.41,0.166,-0.012,-0.002,-0.02,536,0.00129032
23:23:22:53858,0.374047,0.114447,0.233,-0.544,0.202,-0.017,0.01,-0.025,536,0.00129032
23:23:22:58975,0.374051,0.115244,0.13,-0.697,0.041,-0.031,0.023,-0.022,536,0.00129032
23:23:22:63968,0.374058,0.116027,-0.034,-0.727,-0.171,-0.038,0.018,-0.017,536,0.00129032
23:23:22:69075,0.374073,0.116793,-0.232,-0.624,-0.471,-0.037,-0.004,-0.013,536,0.00129032
23:23:22:74084,0.374055,0.117526,-0.172,-0.473,-0.586,-0.027,-0.018,-0.01,537,0.00134897
23:23:22:79224,0.374044,0.118241,0.135,-0.259,-0.61,-0.01,-0.024,-0.006,536,0.00129032
23:23:22:84212,0.374044,0.11893,0.27,-0.206,-0.533,-0.006,-0.02,-0.006,536,0.00129032
23:23:22:89339,0.374059,0.119599,0.181,-0.245,-0.32,-0.011,-0.008,-0.009,536,0.00129032
23:23:22:94355,0.374039,0.120229,0.024,-0.282,-0.18,-0.014,0.001,-0.009,536,0.00129032
23:23:22:99467,0.374036,0.120829,-0.176,-0.291,-0.108,-0.017,0.014,-0.003,536,0.00129032
23:23:22:104472,0.37405,0.121399,-0.258,-0.277,-0.167,-0.017,0.015,0,535,0.00123167
23:23:22:109594,0.374039,0.121926,-0.231,-0.222,-0.287,-0.014,0.003,-0.001,535,0.00123167
23:23:22:114587,0.374047,0.122418,-0.067,-0.163,-0.288,-0.009,-0.006,-0.002,534,0.00117302
23:23:22:119601,0.374032,0.122862,0.261,-0.132,-0.124,-0.004,-0.009,-0.004,534,0.00117302
23:23:22:124744,0.374039,0.123266,0.38,-0.292,0.102,-0.006,-0.002,-0.011,534,0.00117302
23:23:22:129702,0.374072,0.12363,0.296,-0.478,0.175,-0.012,0.005,-0.018,532,0.00105572
23:23:22:134842,0.374047,0.123922,0.024,-0.721,0.077,-0.023,0.016,-0.021,532,0.00105572
23:23:22:139733,0.374047,0.124169,-0.209,-0.783,-0.088,-0.032,0.019,-0.014,532,0.00105572
23:23:22:144961,0.374036,0.124352,-0.502,-0.678,-0.303,-0.039,0.009,0,531,0.000997067
23:23:22:149998,0.374056,0.124485,-0.509,-0.503,-0.316,-0.034,-0.002,0.005,530,0.000938416
23:23:22:155108,0.374067,0.124549,-0.185,-0.268,-0.111,-0.016,-0.015,0,530,0.000938416
23:23:22:160093,0.374067,0.12455,0.063,-0.265,0.077,-0.007,-0.017,-0.01,527,0.000762463
23:23:22:165214,0.374064,0.124472,0.167,-0.52,0.213,-0.011,-0.013,-0.023,527,0.000762463
23:23:22:170202,0.374054,0.124322,0.093,-0.728,0.154,-0.02,-0.009,-0.024,522,0.000469208
23:23:22:175217,0.374043,0.124091,0.004,-0.896,-0.047,-0.031,0.002,-0.015,519,0.000293255
23:23:22:180343,0.374072,0.123796,-0.021,-0.939,-0.175,-0.037,0.011,-0.009,519,0.000293255
23:23:22:185480,0.374059,0.123398,-0.132,-1.032,-0.331,-0.046,0.016,-0.012,513,-5.8651e-05
23:23:22:190486,0.374046,0.122924,-0.233,-1.104,-0.423,-0.047,0.009,-0.02,507,-0.000410557
23:23:22:195601,0.374034,0.122353,-0.244,-1.137,-0.473,-0.038,-0.009,-0.025,507,-0.000410557
23:23:22:200587,0.374067,0.121709,-0.128,-1.139,-0.399,-0.031,-0.019,-0.022,501,-0.000762463
23:23:22:205704,0.374063,0.120956,0.059,-1.279,-0.185,-0.034,-0.024,-0.025,501,-0.000762463
23:23:22:210722,0.374059,0.120111,0.063,-1.606,-0.046,-0.047,-0.022,-0.044,493,-0.00123167
23:23:22:215846,0.374063,0.119161,0.004,-1.819,-0.044,-0.053,-0.015,-0.054,485,-0.00170088
23:23:22:220856,0.374064,0.11812,0.069,-1.963,-0.085,-0.058,0.011,-0.043,485,-0.00170088
23:23:22:225846,0.37407,0.116977,0.29,-1.922,-0.071,-0.059,0.036,-0.026,479,-0.00205279
23:23:22:230983,0.374032,0.115722,0.698,-1.751,0.041,-0.055,0.063,-0.018,475,-0.00228739
23:23:22:236112,0.374038,0.114376,0.799,-1.663,0.145,-0.049,0.061,-0.03,475,-0.00228739
23:23:22:241094,0.374035,0.112934,0.489,-1.708,0.254,-0.047,0.031,-0.053,470,-0.00258065
23:23:22:246095,0.374034,0.111389,0.063,-1.839,0.264,-0.055,0.007,-0.056,463,-0.0029912
23:23:22:251220,0.374063,0.109758,-0.528,-1.948,0.238,-0.071,-0.016,-0.042,463,-0.0029912
23:23:22:256222,0.374044,0.108008,-0.71,-1.805,0.256,-0.071,-0.02,-0.029,453,-0.00357771
23:23:22:261345,0.374053,0.106182,-0.594,-1.277,0.343,-0.052,-0.018,-0.012,453,-0.00357771
23:23:22:266335,0.374043,0.104256,-0.358,-0.932,0.353,-0.037,-0.014,0,439,-0.00439883
23:23:22:271468,0.374049,0.10227,-0.03,-0.909,0.174,-0.031,-0.004,0.004,425,-0.00521994
23:23:22:276477,0.374063,0.100229,0.063,-1.343,-0.028,-0.043,0.005,-0.008,425,-0.00521994
23:23:22:281598,0.374072,0.0981489,-0.031,-2.418,-0.262,-0.078,0.016,-0.05,410,-0.00609971
23:23:22:286605,0.374074,0.0960496,-0.224,-3.114,-0.315,-0.099,0.014,-0.074,394,-0.00703812
23:23:22:291734,0.37405,0.0939577,-0.581,-3.726,-0.287,-0.115,-0.001,-0.079,394,-0.00703812
23:23:22:296776,0.374034,0.0919086,-0.753,-3.766,-0.177,-0.111,-0.022,-0.065,379,-0.00791789
23:23:22:301871,0.374064,0.0899379,-0.65,-3.639,-0.061,-0.101,-0.033,-0.067,364,-0.00879765
23:23:22:306860,0.374042,0.0880519,-0.198,-3.536,0.066,-0.087,-0.038,-0.086,364,-0.00879765
23:23:22:311988,0.374054,0.0862709,0.242,-3.598,0.002,-0.085,-0.026,-0.094,355,-0.00932551
23:23:22:316982,0.374061,0.0845881,1.022,-3.715,-0.356,-0.092,0.027,-0.085,355,-0.00932551
23:23:22:322084,0.374066,0.0830042,1.451,-3.673,-0.591,-0.098,0.078,-0.072,352,-0.00950147
23:23:22:327086,0.374065,0.0815209,1.409,-3.492,-0.548,-0.104,0.121,-0.067,353,-0.00944282
23:23:22:332082,0.374069,0.0801368,0.805,-3.47,-0.264,-0.112,0.1,-0.073,353,-0.00944282
23:23:22:337223,0.374069,0.0788531,-0.261,-3.622,0.091,-0.129,0.01,-0.083,362,-0.00891496
23:23:22:342375,0.374033,0.0776583,-0.511,-3.601,0.099,-0.129,-0.046,-0.083,378,-0.00797654
23:23:22:347335,0.374044,0.0765777,-0.196,-3.032,0.037,-0.103,-0.071,-0.073,378,-0.00797654
23:23:22:352485,0.374063,0.075595,-0.07,-2.431,0.194,-0.086,-0.05,-0.066,401,-0.00662757
23:23:22:357483,0.374042,0.0747073,-0.413,-1.732,0.581,-0.093,-0.004,-0.054,401,-0.00662757
23:23:22:362604,0.374033,0.0739176,-0.574,-1.47,0.616,-0.109,0.017,-0.043,432,-0.00480938
23:23:22:367611,0.374032,0.0732362,-0.025,-0.956,0.225,-0.096,0.035,-0.025,468,-0.00269795
23:23:22:372728,0.374042,0.0726482,0.828,0.027,-0.034,-0.035,0.048,-0.01,468,-0.00269795
23:23:22:377723,0.374061,0.0721722,0.918,0.748,0.1,0,0.051,-0.001,505,-0.000527859
23:23:22:382852,0.37405,0.0717806,0.288,1.499,0.386,0.014,0.036,0.016,547,0.00193548
23:23:22:387852,0.374051,0.0714975,-0.187,1.784,0.344,0.008,0.011,0.032,547,0.00193548
23:23:22:392966,0.374064,0.0713113,-0.5,2.198,-0.022,0.015,-0.029,0.055,591,0.00451613
23:23:22:397974,0.374048,0.0712251,-0.606,2.527,-0.244,0.031,-0.048,0.064,635,0.00709677
23:23:22:402973,0.374041,0.071239,-1.092,2.833,-0.408,0.043,-0.065,0.066,635,0.00709677
23:23:22:408078,0.374052,0.0713544,-1.614,2.753,-0.502,0.036,-0.076,0.065,672,0.00926686
23:23:22:413091,0.374073,0.0715738,-2.081,2.343,-0.69,0.02,-0.094,0.062,672,0.00926686
23:23:22:418209,0.374063,0.0718853,-1.828,2.135,-0.744,0.024,-0.098,0.057,701,0.0109677
23:23:22:423243,0.374065,0.0722975,-0.641,2.176,-0.55,0.058,-0.076,0.045,723,0.0122581
23:23:22:428358,0.374036,0.0728097,0.297,2.322,-0.258,0.082,-0.038,0.036,723,0.0122581
23:23:22:433334,0.37407,0.0733991,1.246,2.326,0.217,0.088,0.038,0.033,737,0.0130792
23:23:22:438477,0.374032,0.0739213,1.47,2.105,0.407,0.074,0.085,0.036,743,0.0134311
23:23:22:443483,0.374068,0.0743642,1.449,1.654,0.33,0.058,0.114,0.033,743,0.0134311
23:23:22:448613,0.374048,0.0746936,1.351,1.444,0.078,0.062,0.097,0.023,744,0.0134897
23:23:22:453592,0.37406,0.0749308,1.105,1.383,-0.288,0.083,0.042,0.01,744,0.0134897
23:23:22:458603,0.374061,0.0750638,0.814,1.492,-0.357,0.095,0.006,0.012,742,0.0133724
23:23:22:463752,0.374049,0.0750952,0.198,1.846,-0.19,0.108,-0.025,0.024,737,0.0130792
23:23:22:468860,0.374071,0.0750355,-0.325,2.453,0.046,0.129,-0.038,0.036,737,0.0130792
23:23:22:473853,0.374037,0.0748616,-0.398,3.013,0.14,0.149,-0.039,0.047,728,0.0125513
23:23:22:478979,0.374035,0.074596,-0.048,4.002,0.206,0.181,-0.027,0.073,714,0.0117302
