Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:23:00:537916,0.374044,-0.0609851,-0.429,-17.273,1.584,-2.098,-0.021,-0.432,488,-0.00152493
23:23:00:543444,0.374069,-0.0605744,-0.45,-19.526,1.712,-2.319,-0.002,-0.476,488,-0.00152493
23:23:00:548026,0.37404,-0.0601699,-0.451,-20.885,1.927,-2.47,0.013,-0.496,488,-0.00152493
23:23:00:552997,0.374051,-0.0597907,-0.454,-22.559,2.155,-2.661,0.03,-0.525,488,-0.00152493
23:23:00:558106,0.374058,-0.0594372,-0.495,-23.451,2.153,-2.761,0.034,-0.547,488,-0.00152493
23:23:00:563149,0.374054,-0.0591007,-0.622,-24.562,2.142,-2.878,0.026,-0.581,488,-0.00152493
23:23:00:568130,0.374047,-0.058786,-0.702,-25.209,2.37,-2.946,0.012,-0.601,488,-0.00152493
23:23:00:573255,0.374034,-0.0584966,-0.732,-26.103,3.075,-3,-0.012,-0.631,488,-0.00152493
23:23:00:578302,0.374058,-0.0582357,-0.695,-26.92,3.375,-3,-0.03,-0.663,488,-0.00152493
23:23:00:583394,0.37403,-0.0579853,-0.735,-27.382,2.797,-3,-0.033,-0.68,488,-0.00152493
23:23:00:588428,0.374042,-0.0577671,-1.004,-27.846,0.767,-3,-0.029,-0.69,488,-0.00152493
23:23:00:593505,0.374051,-0.0575672,-1.271,-27.961,-0.744,-3,-0.024,-0.688,488,-0.00152493
23:23:00:598504,0.374051,-0.0573847,-1.585,-27.858,-1.895,-3,-0.024,-0.684,488,-0.00152493
23:23:00:603626,0.374047,-0.05722,-1.65,-27.653,-1.536,-3,-0.029,-0.685,488,-0.00152493
23:23:00:608616,0.37404,-0.0570737,-1.563,-27.244,0.247,-3,-0.043,-0.691,488,-0.00152493
23:23:00:613619,0.374074,-0.0569449,-1.465,-26.945,1.67,-3,-0.053,-0.693,488,-0.00152493
23:23:00:618753,0.37406,-0.0568197,-1.399,-26.489,3.363,-3,-0.063,-0.692,488,-0.00152493
23:23:00:623877,0.374042,-0.056709,-1.455,-26.184,4.044,-3,-0.066,-0.686,488,-0.00152493
23:23:00:628863,0.374069,-0.0566128,-1.667,-25.739,4.438,-3,-0.067,-0.672,488,-0.00152493
23:23:00:633988,0.374048,-0.0565125,-1.828,-25.456,4.359,-3,-0.07,-0.663,488,-0.00152493
23:23:00:639004,0.37407,-0.0564266,-1.979,-25.027,3.956,-3,-0.081,-0.653,488,-0.00152493
23:23:00:644147,0.374047,-0.0563337,-2.001,-24.717,3.69,-3,-0.092,-0.648,488,-0.00152493
23:23:00:649249,0.374071,-0.0562481,-1.966,-24.239,3.517,-2.978,-0.109,-0.638,488,-0.00152493
23:23:00:654244,0.374049,-0.0561515,-1.926,-23.968,3.519,-2.935,-0.116,-0.631,488,-0.00152493
23:23:00:659286,0.374072,-0.0560583,-1.854,-23.74,3.513,-2.916,-0.116,-0.629,488,-0.00152493
23:23:00:664369,0.374053,-0.0559512,-1.809,-23.774,3.462,-2.956,-0.112,-0.637,488,-0.00152493
23:23:00:669371,0.374037,-0.0558372,-1.829,-23.911,3.477,-3,-0.112,-0.643,488,-0.00152493
23:23:00:674503,0.374068,-0.055719,-1.941,-24.178,3.581,-3,-0.122,-0.648,489,-0.00146628
23:23:00:679495,0.374055,-0.0555794,-2.035,-24.315,3.613,-3,-0.132,-0.649,489,-0.00146628
23:23:00:684635,0.374049,-0.0554258,-2.155,-24.344,3.461,-3,-0.145,-0.648,489,-0.00146628
23:23:00:689638,0.374045,-0.0552617,-2.228,-24.212,3.243,-3,-0.152,-0.646,488,-0.00152493
23:23:00:694747,0.374045,-0.0550756,-2.364,-23.799,2.907,-3,-0.169,-0.642,488,-0.00152493
23:23:00:699746,0.374049,-0.0548754,-2.465,-23.411,2.76,-2.963,-0.187,-0.637,488,-0.00152493
23:23:00:704887,0.374057,-0.0546572,-2.564,-22.717,2.669,-2.855,-0.218,-0.627,489,-0.00146628
23:23:00:709857,0.374071,-0.0544178,-2.553,-22.207,2.647,-2.782,-0.231,-0.616,488,-0.00152493
23:23:00:715010,0.374044,-0.0541535,-2.417,-21.408,2.589,-2.674,-0.229,-0.597,488,-0.00152493
23:23:00:719997,0.374067,-0.0538745,-2.3,-20.87,2.511,-2.604,-0.217,-0.585,489,-0.00146628
23:23:00:725146,0.374049,-0.0535708,-2.216,-20.091,2.359,-2.503,-0.198,-0.568,489,-0.00146628
23:23:00:730145,0.374036,-0.0532532,-2.263,-19.611,2.278,-2.441,-0.194,-0.557,491,-0.00134897
23:23:00:735251,0.374069,-0.0529238,-2.459,-18.978,2.266,-2.365,-0.208,-0.547,492,-0.00129032
23:23:00:740237,0.374063,-0.0525741,-2.613,-18.626,2.322,-2.33,-0.226,-0.545,492,-0.00129032
23:23:00:745255,0.374056,-0.0522168,-2.785,-18.208,2.388,-2.302,-0.255,-0.549,493,-0.00123167
23:23:00:750383,0.374048,-0.0518557,-2.831,-17.833,2.349,-2.285,-0.275,-0.544,496,-0.00105572
23:23:00:755490,0.37404,-0.0514985,-2.776,-17.507,2.307,-2.266,-0.279,-0.531,496,-0.00105572
23:23:00:760533,0.374076,-0.0511586,-2.563,-16.787,2.313,-2.207,-0.271,-0.5,500,-0.000821114
23:23:00:765618,0.374058,-0.0508335,-2.352,-16.169,2.352,-2.149,-0.255,-0.478,500,-0.000821114
23:23:00:770627,0.374032,-0.0505446,-1.998,-15.16,2.382,-2.042,-0.221,-0.459,503,-0.000645161
23:23:00:775628,0.374042,-0.0503088,-1.795,-14.484,2.37,-1.962,-0.197,-0.457,505,-0.000527859
23:23:00:780762,0.374037,-0.0501302,-1.661,-13.48,2.358,-1.843,-0.174,-0.449,505,-0.000527859
23:23:00:785758,0.374059,-0.0500296,-1.736,-12.827,2.378,-1.778,-0.173,-0.426,506,-0.000469208
23:23:00:790865,0.374067,-0.050001,-2.019,-11.892,2.433,-1.711,-0.185,-0.369,508,-0.000351906
23:23:00:791636,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791672,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
