Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
20:10:06:750241,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750256,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750266,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750276,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750285,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750294,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750303,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750313,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750322,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750331,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750341,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750350,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750359,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750369,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750378,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750387,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750397,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750406,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750415,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750428,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750437,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750446,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:750455,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
